HMDB_ID,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC,group,metabolite,senser
HMDB0000022,0,154273158.5,0.921261569877933,0.281116889449606,0,1.71244069957546,Myeloid,3-Methoxytyramine,TRUE
HMDB0000030,1.02986112973369e-13,43324029.5,0.0682248850494167,0.0198580048041658,2.7109579738578e-13,1.7805773806709,Endo,Biotin,TRUE
HMDB0000037,0.0069423718252433,13407662,0.00162080626624212,6.69591260697286e-05,0.0092737653486459,4.59728714828719,Oligo,Aldosterone,TRUE
HMDB0000043,4.039311416285e-244,92491375.5,0.14811513802096,0.0289586756943119,3.61518371757507e-243,2.35465156463401,Fibro,Betaine,TRUE
HMDB0000043,2.88304997942387e-23,14626807,0.142309524913758,0.0400542000410652,8.89768872960126e-23,1.8290067909113,Oligo,Betaine,TRUE
HMDB0000053,0,156225579.5,0.112787960505446,0.0289891513056288,0,1.96002807380014,Epi,Androstenedione,TRUE
HMDB0000067,0,145443968,0.288943473440716,0.0424148038800937,0,2.76814748692398,Myeloid,Cholesterol,TRUE
HMDB0000094,3.96562338312304e-10,19350506.5,0.0439258162681707,0.00193005449288259,1.52655179694414e-09,4.50835560988498,pDC,Citric acid,TRUE
HMDB0000097,3.11140994147465e-216,27566188.5,0.231670731067881,0.0521602645365426,5.56942379523962e-214,2.151052696304,pDC,Choline,TRUE
HMDB0000097,0,150232404,0.154400467921212,0.0392478128334493,0,1.97599296064395,Myeloid,Choline,TRUE
HMDB0000112,0,174104601,0.467873289416164,0.144106959001811,0,1.6989778628144,Myeloid,gamma-Aminobutyric acid,TRUE
HMDB0000123,0,151785082,0.0847403698966598,0.00901195130886735,0,3.23313800226738,Myeloid,Glycine,TRUE
HMDB0000123,3.42822516228418e-53,49358041,0.0565278994630447,0.0179961112025019,2.50470328183212e-52,1.6512779016241,Endo,Glycine,TRUE
HMDB0000169,2.46087814147828e-80,18774234.5,0.140292370270034,0.0264418948080359,2.09760565392673e-79,2.40753908264822,Oligo,D-Mannose,TRUE
HMDB0000169,8.1761706460427e-188,102740918.5,0.0882352241460611,0.0210745242264943,6.09806060684018e-187,2.06585464358077,Fibro,D-Mannose,TRUE
HMDB0000169,6.43499148802815e-74,23412690.5,0.111924638810842,0.0264657760883956,2.09429722974007e-72,2.08032779694351,pDC,D-Mannose,TRUE
HMDB0000181,6.22228332759827e-08,107072395,0.0002417994651443,7.88456201468628e-05,7.6549052621312e-08,1.61670853234716,Epi,L-Dopa,TRUE
HMDB0000181,0.00723459642460089,82393955,0.000892919394672013,8.00850278236503e-06,0.0086621589297897,6.80085358554957,Fibro,L-Dopa,TRUE
HMDB0000207,1.23523965919076e-118,18531784,0.121368893711523,0.0335627185416541,1.76886319196117e-117,1.85446723060986,Oligo,Oleic acid,TRUE
HMDB0000234,1.19957584357813e-186,126500553,0.0969050929862536,0.0182406648032107,4.12930915385548e-186,2.4094141793055,Epi,Testosterone,TRUE
HMDB0000234,4.32339133865138e-32,16241125,0.100247263200958,0.0284716225887874,1.66427322498623e-31,1.81596623167066,Oligo,Testosterone,TRUE
HMDB0000244,0,151887837.5,0.308722024899373,0.0610341134672581,0,2.33862068065769,Myeloid,Riboflavin,TRUE
HMDB0000248,0,89354378,0.0249777777725859,0.000271327492232307,0,6.52446608251497,Fibro,Thyroxine,TRUE
HMDB0000262,0,184645133,1.01709276543005,0.252852354412172,0,2.0080841511364,Myeloid,Thymine,TRUE
HMDB0000294,1.44012134033956e-251,116120344.5,0.0232604497037391,0.00689764266244792,7.5818152917877e-251,1.75370369334248,Epi,Urea,TRUE
HMDB0000300,0,190261045.5,0.532273087172218,0.144248561658854,0,1.88360968902059,Myeloid,Uracil,TRUE
HMDB0000517,4.37143770528061e-129,123768438,0.0936629346500558,0.0264954686280586,1.10209485809187e-128,1.82173259661078,Epi,L-Arginine,TRUE
HMDB0000574,1.60608357967107e-65,50402747,0.105637348452522,0.0330737467251761,1.47430236287754e-64,1.67536160062876,Endo,L-Cysteine,TRUE
HMDB0000574,0,144569425.5,0.126795237356148,0.021552630316084,0,2.55656470253713,Myeloid,L-Cysteine,TRUE
HMDB0000641,0,105840960.5,0.912112809383584,0.271888427638345,0,1.74619751941949,Mast,L-Glutamine,TRUE
HMDB0000641,0,174351175,0.900602845915075,0.228523451013937,0,1.97854881476935,Myeloid,L-Glutamine,TRUE
HMDB0000641,1.05110069905671e-166,21643179,1.0148034404886,0.314560752002145,2.50862700174867e-165,1.68978973481724,Oligo,L-Glutamine,TRUE
HMDB0000660,1.81643422055512e-100,19581674,0.195014228481303,0.0596602710513899,2.32244089628118e-99,1.70873695132276,Oligo,D-Fructose,TRUE
HMDB0000673,1.82612648322917e-303,23749624.5,0.150900691592193,0.0342666129161993,9.33933258565774e-302,2.13872391708113,Oligo,Linoleic acid,TRUE
HMDB0000806,1.98952292146836e-29,14920032,0.104932712359129,0.0313475116160441,7.26784903964972e-29,1.74304167181996,Oligo,Myristic acid,TRUE
HMDB0000806,0,135748191,0.135319726348531,0.0151497801199498,0,3.15900340469072,Epi,Myristic acid,TRUE
HMDB0000827,2.2274162869812e-270,81388183.5,0.112834730699444,0.0303542342575016,3.06698088745873e-269,1.89424151571945,Mast,Stearic acid,TRUE
HMDB0001085,0,151961966.5,0.857001827670721,0.223715420654306,0,1.9376335766071,Myeloid,Leukotriene B4,TRUE
HMDB0001220,1.63359546512052e-258,23573294.5,0.693828634473834,0.238531934294025,6.49807973903497e-257,1.54039695723505,Oligo,Prostaglandin E2,TRUE
HMDB0001341,6.53995901809088e-21,16245292.5,0.0396919615985207,0.00870805652238517,1.82914478787229e-20,2.18842418594416,Oligo,ADP,TRUE
HMDB0001341,1.50228522315652e-44,75794651,0.0270015201740792,0.00756601087549045,5.12207723704793e-44,1.83543587742705,Mast,ADP,TRUE
HMDB0001341,2.44180062482986e-126,127155366,0.0305714135938695,0.00558785604391037,1.24880660527013e-125,2.45181650347132,NK,ADP,TRUE
HMDB0001388,2.65446876084618e-302,23725176,0.150900691592193,0.0384088803791517,1.18787477047866e-300,1.97408760292852,Oligo,alpha-Linolenic acid,TRUE
HMDB0001403,0,25014394.5,2.00393153164026,0.263804037277311,0,2.92529466780424,Oligo,Prostaglandin D2,TRUE
HMDB0001403,0,112396188.5,0.830972410745794,0.226810063318659,0,1.87331592610293,Fibro,Prostaglandin D2,TRUE
HMDB0001403,2.69818577409904e-88,22593749,0.847248978749337,0.279474745889065,1.37992929589637e-86,1.60006806968081,pDC,Prostaglandin D2,TRUE
HMDB0001403,0,116830036,1.19932001537207,0.208079398619321,0,2.5270106255081,Mast,Prostaglandin D2,TRUE
HMDB0001452,0,142471158,0.361568302497823,0.055016712615421,0,2.71632636422713,Myeloid,Thromboxane A2,TRUE
HMDB0001852,0,108735391.5,0.333116566425598,0.0786479078751002,0,2.08254680943913,Fibro,all-trans-Retinoic acid,TRUE
HMDB0001903,0.00389192660454088,82596508,0.00594009697622146,0.00207024843725338,0.00470712744738391,1.52068257751622,Fibro,Calcitriol,TRUE
