"Sample","Basic_CellNumber","Filter_CellNumber","percent","Basic_MeanUMI_per_cell","Filter_MeanUMI_per_cell","Basic_MedianUMI_per_cell","Filter_MedianUMI_per_cell","Basic_MeanGene_per_cell","Filter_MeanGene_per_cell","Basic_MedianGene_per_cell","Filter_MedianGene_per_cell"
"GSM3827114","3194","2970","92.99%","7262","6959","3855","3731","1845","1809","1340","1326"
"GSM3827115","2839","2667","93.94%","9989","9553","4455","4140","2021","1969","1356","1282"
"GSM3827116","3380","3149","93.17%","7645","7553","3858","3719","1798","1780","1279","1247"
"GSM3827117","2528","2361","93.39%","10579","10368","9030","8833","2183","2178","2232","2236"
"GSM3827118","4628","4301","92.93%","7417","7130","4191","4081","1741","1694","1342","1301"
"GSM3827119","3870","3689","95.32%","6946","6722","3693","3654","1731","1709","1292","1283"
"GSM3827120","5798","5344","92.17%","6076","5977","5328","5142","1596","1574","1587","1559"
"GSM3827121","3411","3138","92.00%","5278","4776","2625","2561","1424","1356","1047","1028"
"GSM3827122","3884","3617","93.13%","3997","3320","2392","2336","1224","1125","938","924"
"GSM3827123","4241","3995","94.20%","5619","5516","3845","3843","1598","1587","1349","1349"
"GSM3827124","5222","4827","92.44%","5880","5717","2435","2385","1511","1487","972","958"
"GSM3827125","3426","3227","94.19%","5739","5357","3836","3780","1549","1506","1194","1176"
"GSM3827126","3765","3324","88.29%","5587","4026","3479","3346","1299","1188","1082","1057"
"GSM3827127","3840","3579","93.20%","7960","7377","3808","3631","1739","1697","1196","1170"
"GSM3827128","3705","2919","78.79%","7743","5342","4093","3283","1921","1519","1386","1138"
"GSM3827129","4361","4102","94.06%","6876","6464","4053","3990","1638","1606","1197","1181"
"GSM3827130","4021","3767","93.68%","6732","5777","2965","2868","1625","1504","1073","1044"
"GSM3827131","4374","3898","89.12%","5025","3842","3016","2881","1197","1094","926","898"
"GSM3827132","4705","3885","82.57%","7672","6379","3258","2745","1748","1633","1125","1031"
"GSM3827133","4094","3892","95.07%","4668","4467","2696","2638","1362","1348","1026","1014"
"GSM3827134","5578","4841","86.79%","4441","3062","2202","2114","1191","1074","861","851"
"GSM3827135","3280","2597","79.18%","10357","10327","9056","9104","2374","2375","2286","2313"
"GSM3827136","2303","2192","95.18%","8341","6914","3134","3060","1992","1853","1095","1062"
"GSM3827137","5182","4346","83.87%","11890","11694","7786","8139","2611","2635","2324","2391"
"GSM3827139","2813","2600","92.43%","7491","5616","2722","2630","1612","1469","1011","996"
"GSM3827140","5144","4678","90.94%","7063","4999","2857","2732","1438","1267","931","898"
"GSM3827141","3178","2930","92.20%","5763","4750","3775","3700","1374","1228","1066","1052"
"GSM3827142","3115","2842","91.24%","10915","9083","6957","6714","2405","2259","2089","2056"
"GSM3827143","3550","3213","90.51%","6594","4526","3752","3665","1554","1304","1158","1137"
"GSM3827144","1105","995","90.05%","9823","6366","4160","4030","1813","1547","1261","1236"
"GSM3827145","2112","1804","85.42%","7681","4991","4191","3936","1795","1434","1312","1283"
"GSM3827146","3275","3073","93.83%","9191","9026","3598","3319","2114","2085","1271","1202"
"GSM3827147","3626","3378","93.16%","3729","3196","3068","2996","996","929","904","897"
"GSM3827148","3178","2961","93.17%","3885","3461","3350","3314","1040","1004","981","978"
"GSM3827149","3013","2818","93.53%","3539","3082","2961","2928","1031","986","957","951"
"GSM3827150","3092","2899","93.76%","3521","3311","3195","3167","982","970","950","951"
"GSM3827151","3087","2744","88.89%","2707","2626","2416","2406","826","832","780","801"
"GSM3827152","2936","2750","93.66%","3639","3384","3242","3228","1044","1017","993","991"
"GSM3827153","5713","5255","91.98%","2562","2295","2193","2134","786","758","747","743"
"GSM3827154","4395","3956","90.01%","3371","3161","3069","3046","888","873","851","854"
"GSM3827155","3788","3443","90.89%","4540","3531","3408","3339","1071","989","989","979"
"GSM3827156","4618","3972","86.01%","5404","3268","3148","2998","1107","961","927","910"
"GSM3827157","4884","4585","93.88%","5311","4173","3217","3167","1364","1230","1035","1024"
"GSM3827158","2943","2755","93.61%","4894","4242","3035","2983","1295","1195","1008","999"
"GSM3827159","4224","3975","94.11%","5993","5377","4374","4236","1410","1349","1162","1147"
"GSM3827160","4441","4191","94.37%","5307","4663","4454","4362","1284","1201","1175","1162"
"GSM3827161","3812","3599","94.41%","3495","3196","3150","3114","1078","1035","1028","1022"
"GSM3827162","2313","2135","92.30%","8031","7495","4195","4072","1800","1735","1264","1243"
"GSM3827163","2990","1940","64.88%","15251","14728","12080","11486","3084","3038","3024","2994"
"GSM3827164","1904","1495","78.52%","20812","18612","15968","14989","3686","3539","3641","3412"
"GSM3827165","1070","950","88.79%","9880","8145","4650","4590","2004","1925","1554","1552"
"GSM3827166","5730","4254","74.24%","8318","8569","7334","7623","2306","2350","2351","2421"
"GSM3827167","3182","2562","80.52%","14780","13484","7834","6310","2894","2740","2437","2053"
"GSM3827168","4845","4203","86.75%","4644","3680","2010","1904","1220","1159","810","785"
"GSM3827169","1317","1061","80.56%","6146","3739","2811","2474","1292","1222","1013","967"
"GSM3827170","2409","1754","72.81%","11597","4128","3130","2256","2207","1328","1192","948"
"GSM3827171","3300","2800","84.85%","7415","6218","4318","4016","1820","1645","1404","1300"
"Total","206731","185197","89.58%","6701","5742","3481","3321","1592","1487","1099","1067"
