"RNA_snn_res.0.1Harmony","GSM3827114","GSM3827115","GSM3827116","GSM3827117","GSM3827118","GSM3827119","GSM3827120","GSM3827121","GSM3827122","GSM3827123","GSM3827124","GSM3827125","GSM3827126","GSM3827127","GSM3827128","GSM3827129","GSM3827130","GSM3827131","GSM3827132","GSM3827133","GSM3827134","GSM3827135","GSM3827136","GSM3827137","GSM3827139","GSM3827140","GSM3827141","GSM3827142","GSM3827143","GSM3827144","GSM3827145","GSM3827146","GSM3827147","GSM3827148","GSM3827149","GSM3827150","GSM3827151","GSM3827152","GSM3827153","GSM3827154","GSM3827155","GSM3827156","GSM3827157","GSM3827158","GSM3827159","GSM3827160","GSM3827161","GSM3827162","GSM3827163","GSM3827164","GSM3827165","GSM3827166","GSM3827167","GSM3827168","GSM3827169","GSM3827170","GSM3827171"
"0",968,975,1058,428,1092,1368,1181,1397,1391,931,1911,703,754,1122,631,725,1325,607,1334,734,1831,333,249,176,1000,682,318,195,288,321,865,883,672,691,719,748,596,632,1398,890,851,702,1424,1068,864,1029,932,644,179,58,269,176,209,529,247,169,171
"1",298,271,362,239,493,429,434,744,633,259,425,801,1232,764,375,924,928,971,32,621,1538,123,23,61,452,714,449,28,720,111,426,12,1426,1428,1303,1294,997,1330,2228,1485,1454,1156,1645,723,988,1916,1549,211,60,34,73,372,38,1056,112,8,6
"2",1159,1172,1212,1081,1899,1017,3149,639,756,1271,1531,498,153,1248,914,1064,816,440,898,878,268,289,362,232,411,671,663,1946,111,280,280,617,56,56,43,29,10,24,90,90,49,113,758,598,1135,111,27,712,173,305,394,264,275,455,155,592,1704
"3",156,116,201,322,217,155,236,177,179,356,491,105,117,148,362,246,327,173,774,767,318,1691,982,3303,395,246,113,175,284,185,101,1124,225,148,164,150,268,159,558,224,251,201,213,95,144,148,204,243,1311,762,73,3088,1871,1249,77,741,479
"4",41,22,36,43,49,24,21,13,21,12,41,471,742,102,251,377,60,1414,269,63,40,20,98,6,116,2028,1348,134,1607,35,60,98,926,601,541,646,823,563,880,1221,803,1686,394,98,768,927,845,134,14,3,6,18,2,359,53,38,24
"5",41,36,35,32,70,24,70,86,59,45,55,43,32,83,76,61,154,57,126,81,180,43,171,337,66,288,22,243,167,54,42,84,42,21,15,15,25,14,60,32,21,38,81,52,29,36,41,61,164,57,28,128,113,70,27,34,170
"6",13,10,17,48,145,78,14,12,220,792,174,449,178,17,182,107,30,14,241,69,406,28,126,114,83,23,5,19,20,1,8,36,1,2,2,1,13,2,7,4,0,13,2,0,0,2,0,4,27,90,34,121,32,10,19,79,115
"7",222,30,83,102,79,185,149,52,56,28,64,95,91,52,86,407,84,178,147,470,117,39,2,36,56,0,1,11,1,5,16,17,5,1,1,1,1,0,0,3,4,2,0,1,0,4,0,57,0,1,2,1,1,438,3,4,0
"8",27,9,112,50,165,388,70,10,187,175,82,51,11,21,17,151,4,25,29,152,123,19,27,6,13,5,3,3,0,0,2,1,3,0,0,0,3,0,9,5,3,2,0,0,0,0,0,2,7,57,3,23,15,5,3,20,14
"9",31,4,6,9,19,17,12,6,19,22,15,7,14,21,9,5,24,13,11,22,11,2,8,1,3,14,7,25,13,3,2,0,22,13,30,15,7,26,25,2,6,59,66,120,47,18,1,2,2,1,2,1,0,6,3,0,4
"10",14,22,27,7,73,4,8,0,95,104,38,3,0,1,11,35,5,6,15,34,9,2,6,70,5,6,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,24,5,2,0,11,4
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,9,1,0,8,4,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,59,0,5,66,24,0,24,362,57,15
"12",0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,4,0,1,1,63,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,0,14,1,0,0,1,94
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",2970,2667,3149,2361,4301,3689,5344,3138,3617,3995,4827,3227,3324,3579,2919,4102,3767,3898,3885,3892,4841,2597,2192,4346,2600,4678,2930,2842,3213,995,1804,3073,3378,2961,2818,2899,2744,2750,5255,3956,3443,3972,4585,2755,3975,4191,3599,2135,1940,1495,950,4254,2562,4203,1061,1754,2800
