"RNA_snn_res.0.1Harmony","GSM3827114","GSM3827115","GSM3827116","GSM3827117","GSM3827118","GSM3827119","GSM3827120","GSM3827121","GSM3827122","GSM3827123","GSM3827124","GSM3827125","GSM3827126","GSM3827127","GSM3827128","GSM3827129","GSM3827130","GSM3827131","GSM3827132","GSM3827133","GSM3827134","GSM3827135","GSM3827136","GSM3827137","GSM3827139","GSM3827140","GSM3827141","GSM3827142","GSM3827143","GSM3827144","GSM3827145","GSM3827146","GSM3827147","GSM3827148","GSM3827149","GSM3827150","GSM3827151","GSM3827152","GSM3827153","GSM3827154","GSM3827155","GSM3827156","GSM3827157","GSM3827158","GSM3827159","GSM3827160","GSM3827161","GSM3827162","GSM3827163","GSM3827164","GSM3827165","GSM3827166","GSM3827167","GSM3827168","GSM3827169","GSM3827170","GSM3827171"
"0","32.59%","36.56%","33.60%","18.13%","25.39%","37.08%","22.10%","44.52%","38.46%","23.30%","39.59%","21.78%","22.68%","31.35%","21.62%","17.67%","35.17%","15.57%","34.34%","18.86%","37.82%","12.82%","11.36%","4.05%","38.46%","14.58%","10.85%","6.86%","8.96%","32.26%","47.95%","28.73%","19.89%","23.34%","25.51%","25.80%","21.72%","22.98%","26.60%","22.50%","24.72%","17.67%","31.06%","38.77%","21.74%","24.55%","25.90%","30.16%","9.23%","3.88%","28.32%","4.14%","8.16%","12.59%","23.28%","9.64%","6.11%"
"1","10.03%","10.16%","11.50%","10.12%","11.46%","11.63%","8.12%","23.71%","17.50%","6.48%","8.80%","24.82%","37.06%","21.35%","12.85%","22.53%","24.63%","24.91%","0.82%","15.96%","31.77%","4.74%","1.05%","1.40%","17.38%","15.26%","15.32%","0.99%","22.41%","11.16%","23.61%","0.39%","42.21%","48.23%","46.24%","44.64%","36.33%","48.36%","42.40%","37.54%","42.23%","29.10%","35.88%","26.24%","24.86%","45.72%","43.04%","9.88%","3.09%","2.27%","7.68%","8.74%","1.48%","25.12%","10.56%","0.46%","0.21%"
"2","39.02%","43.94%","38.49%","45.79%","44.15%","27.57%","58.93%","20.36%","20.90%","31.81%","31.72%","15.43%","4.60%","34.87%","31.31%","25.94%","21.66%","11.29%","23.11%","22.56%","5.54%","11.13%","16.51%","5.34%","15.81%","14.34%","22.63%","68.47%","3.45%","28.14%","15.52%","20.08%","1.66%","1.89%","1.53%","1.00%","0.36%","0.87%","1.71%","2.28%","1.42%","2.84%","16.53%","21.71%","28.55%","2.65%","0.75%","33.35%","8.92%","20.40%","41.47%","6.21%","10.73%","10.83%","14.61%","33.75%","60.86%"
"3","5.25%","4.35%","6.38%","13.64%","5.05%","4.20%","4.42%","5.64%","4.95%","8.91%","10.17%","3.25%","3.52%","4.14%","12.40%","6.00%","8.68%","4.44%","19.92%","19.71%","6.57%","65.11%","44.80%","76.00%","15.19%","5.26%","3.86%","6.16%","8.84%","18.59%","5.60%","36.58%","6.66%","5.00%","5.82%","5.17%","9.77%","5.78%","10.62%","5.66%","7.29%","5.06%","4.65%","3.45%","3.62%","3.53%","5.67%","11.38%","67.58%","50.97%","7.68%","72.59%","73.03%","29.72%","7.26%","42.25%","17.11%"
"4","1.38%","0.82%","1.14%","1.82%","1.14%","0.65%","0.39%","0.41%","0.58%","0.30%","0.85%","14.60%","22.32%","2.85%","8.60%","9.19%","1.59%","36.28%","6.92%","1.62%","0.83%","0.77%","4.47%","0.14%","4.46%","43.35%","46.01%","4.71%","50.02%","3.52%","3.33%","3.19%","27.41%","20.30%","19.20%","22.28%","29.99%","20.47%","16.75%","30.86%","23.32%","42.45%","8.59%","3.56%","19.32%","22.12%","23.48%","6.28%","0.72%","0.20%","0.63%","0.42%","0.08%","8.54%","5.00%","2.17%","0.86%"
"5","1.38%","1.35%","1.11%","1.36%","1.63%","0.65%","1.31%","2.74%","1.63%","1.13%","1.14%","1.33%","0.96%","2.32%","2.60%","1.49%","4.09%","1.46%","3.24%","2.08%","3.72%","1.66%","7.80%","7.75%","2.54%","6.16%","0.75%","8.55%","5.20%","5.43%","2.33%","2.73%","1.24%","0.71%","0.53%","0.52%","0.91%","0.51%","1.14%","0.81%","0.61%","0.96%","1.77%","1.89%","0.73%","0.86%","1.14%","2.86%","8.45%","3.81%","2.95%","3.01%","4.41%","1.67%","2.54%","1.94%","6.07%"
"6","0.44%","0.37%","0.54%","2.03%","3.37%","2.11%","0.26%","0.38%","6.08%","19.82%","3.60%","13.91%","5.35%","0.47%","6.24%","2.61%","0.80%","0.36%","6.20%","1.77%","8.39%","1.08%","5.75%","2.62%","3.19%","0.49%","0.17%","0.67%","0.62%","0.10%","0.44%","1.17%","0.03%","0.07%","0.07%","0.03%","0.47%","0.07%","0.13%","0.10%","0.00%","0.33%","0.04%","0.00%","0.00%","0.05%","0.00%","0.19%","1.39%","6.02%","3.58%","2.84%","1.25%","0.24%","1.79%","4.50%","4.11%"
"7","7.47%","1.12%","2.64%","4.32%","1.84%","5.01%","2.79%","1.66%","1.55%","0.70%","1.33%","2.94%","2.74%","1.45%","2.95%","9.92%","2.23%","4.57%","3.78%","12.08%","2.42%","1.50%","0.09%","0.83%","2.15%","0.00%","0.03%","0.39%","0.03%","0.50%","0.89%","0.55%","0.15%","0.03%","0.04%","0.03%","0.04%","0.00%","0.00%","0.08%","0.12%","0.05%","0.00%","0.04%","0.00%","0.10%","0.00%","2.67%","0.00%","0.07%","0.21%","0.02%","0.04%","10.42%","0.28%","0.23%","0.00%"
"8","0.91%","0.34%","3.56%","2.12%","3.84%","10.52%","1.31%","0.32%","5.17%","4.38%","1.70%","1.58%","0.33%","0.59%","0.58%","3.68%","0.11%","0.64%","0.75%","3.91%","2.54%","0.73%","1.23%","0.14%","0.50%","0.11%","0.10%","0.11%","0.00%","0.00%","0.11%","0.03%","0.09%","0.00%","0.00%","0.00%","0.11%","0.00%","0.17%","0.13%","0.09%","0.05%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","0.36%","3.81%","0.32%","0.54%","0.59%","0.12%","0.28%","1.14%","0.50%"
"9","1.04%","0.15%","0.19%","0.38%","0.44%","0.46%","0.22%","0.19%","0.53%","0.55%","0.31%","0.22%","0.42%","0.59%","0.31%","0.12%","0.64%","0.33%","0.28%","0.57%","0.23%","0.08%","0.36%","0.02%","0.12%","0.30%","0.24%","0.88%","0.40%","0.30%","0.11%","0.00%","0.65%","0.44%","1.06%","0.52%","0.26%","0.95%","0.48%","0.05%","0.17%","1.49%","1.44%","4.36%","1.18%","0.43%","0.03%","0.09%","0.10%","0.07%","0.21%","0.02%","0.00%","0.14%","0.28%","0.00%","0.14%"
