"RNA_snn_res.0.1Harmony","GSM3827114","GSM3827115","GSM3827116","GSM3827117","GSM3827118","GSM3827119","GSM3827120","GSM3827121","GSM3827122","GSM3827123","GSM3827124","GSM3827125","GSM3827126","GSM3827127","GSM3827128","GSM3827129","GSM3827130","GSM3827131","GSM3827132","GSM3827133","GSM3827134","GSM3827135","GSM3827136","GSM3827137","GSM3827139","GSM3827140","GSM3827141","GSM3827142","GSM3827143","GSM3827144","GSM3827145","GSM3827146","GSM3827147","GSM3827148","GSM3827149","GSM3827150","GSM3827151","GSM3827152","GSM3827153","GSM3827154","GSM3827155","GSM3827156","GSM3827157","GSM3827158","GSM3827159","GSM3827160","GSM3827161","GSM3827162","GSM3827163","GSM3827164","GSM3827165","GSM3827166","GSM3827167","GSM3827168","GSM3827169","GSM3827170","GSM3827171"
"0",600,477,578,394,855,688,717,1073,1047,427,787,1106,1664,1104,670,1324,1593,1345,641,998,2292,241,32,214,880,1005,650,134,832,183,753,383,1825,1819,1654,1747,1232,1739,2871,1895,1885,1479,2138,1238,1308,2459,2190,401,154,68,187,573,210,1326,199,71,77
"1",581,1030,1031,934,1452,724,2717,603,284,849,1045,289,93,1022,738,670,603,296,743,582,158,227,159,200,262,438,545,1565,74,176,153,510,9,41,23,17,7,7,64,65,27,74,496,265,570,45,14,516,107,233,347,238,210,319,132,500,1183
"2",150,111,193,323,224,153,233,184,175,356,490,91,83,163,341,224,316,158,758,752,248,1704,947,3205,342,231,96,126,234,174,48,1108,159,82,108,94,164,98,334,162,182,151,169,57,87,102,113,156,1339,808,80,2987,1893,1075,74,563,491
"3",666,767,840,272,728,1099,897,1057,976,765,1549,396,275,759,303,327,689,236,675,355,1001,137,201,63,577,390,120,130,153,242,532,665,182,227,280,226,256,146,505,373,316,308,868,519,497,403,222,453,65,30,154,19,10,261,147,86,94
"4",40,22,36,43,49,19,20,13,22,11,39,470,741,91,246,377,56,1413,252,63,31,22,101,5,109,2031,1345,131,1600,35,60,98,922,598,540,643,820,560,877,1214,793,1677,393,96,762,922,848,129,11,2,7,21,5,361,49,39,23
"5",582,146,183,145,447,300,428,36,474,424,489,213,65,241,178,400,220,148,158,301,111,95,204,36,149,236,119,427,35,104,129,111,46,15,20,12,3,17,25,26,20,37,261,338,566,66,13,197,57,71,45,26,60,141,23,94,519
"6",13,10,17,48,135,80,14,12,221,789,170,453,179,18,182,108,20,14,292,70,419,30,142,131,82,18,5,21,19,2,7,74,1,2,1,1,14,2,7,4,0,13,1,0,0,2,0,4,32,102,35,126,37,21,20,93,117
"7",222,30,83,101,79,182,150,52,56,28,63,95,91,52,86,406,84,178,148,469,116,39,3,35,56,0,1,11,1,5,16,17,5,1,1,1,1,0,0,3,3,2,0,1,1,4,0,57,0,1,2,1,1,438,3,4,0
"8",27,9,113,53,169,395,75,10,187,174,84,53,11,24,18,155,2,25,29,153,126,20,1,3,13,5,3,1,0,1,2,0,3,0,0,0,3,0,8,4,3,2,0,0,0,0,0,2,7,56,2,23,13,5,3,18,14
"9",30,4,6,9,17,16,12,6,19,21,14,6,11,20,7,4,22,18,26,21,19,2,8,1,7,13,7,11,14,3,2,0,22,13,31,15,7,26,25,3,6,59,66,120,47,18,1,2,2,1,1,1,0,9,6,0,4
"10",14,23,27,7,73,4,9,0,95,102,39,3,0,1,11,35,0,6,15,33,9,2,6,73,5,6,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,1,24,5,1,0,8,12
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,15,1,0,12,4,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62,0,5,58,23,0,23,365,57,15
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,123,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,11,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",2925,2629,3107,2329,4228,3660,5272,3046,3556,3946,4769,3176,3213,3495,2785,4030,3606,3837,3752,3798,4530,2554,1931,3966,2484,4374,2891,2581,2963,925,1704,2987,3174,2798,2658,2756,2507,2595,4716,3749,3235,3802,4393,2634,3838,4021,3402,1985,1774,1436,919,4073,2444,3980,1021,1533,2550
