"celltype","Metastasis","Metastatic LN","MPE","Normal LN","Normal Lung","Tumor Lung"
"B","2.98%","28.77%","16.52%","27.02%","0.80%","8.43%"
"Endo","0.66%","0.07%","0.00%","0.07%","3.28%","1.34%"
"Epi","43.91%","11.03%","2.89%","4.80%","7.56%","20.21%"
"Fibro","2.70%","0.79%","0.02%","0.14%","3.82%","4.54%"
"Mast","2.33%","0.28%","0.03%","0.05%","2.65%","3.94%"
"Myeloid","23.11%","25.09%","14.40%","1.73%","37.76%","18.15%"
"NK","6.07%","12.11%","13.72%","8.81%","24.36%","12.71%"
"Oligo","2.80%","0.04%","0.01%","0.00%","0.00%","0.08%"
"pDC","0.12%","0.27%","1.38%","0.65%","0.39%","0.36%"
"T","15.32%","21.56%","51.03%","56.72%","19.37%","30.22%"
"Total","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
