"SLCO2A1","SLCO2A1_level","la_score"
0,"-",0.0148767067454657
0,"-",0
0,"-",0.479315263908702
0.573774226972906,"+",0.365600163032403
0,"-",0
3.08842121987844,"+",0.367638068066028
0,"-",0
0,"-",0
1.42301346208277,"+",0
0,"-",0
1.4181718196611,"+",0
0,"-",0
1.47459645912824,"+",0.220908905644997
0,"-",0.318524556755655
0,"-",0.45669451803546
0,"-",0
0,"-",0
1.33674261035688,"+",0.352965151823925
0,"-",0.215814143060933
0,"-",0.38699816588547
0,"-",0
0,"-",0
0,"-",0
1.66930699635023,"+",0
0,"-",0
0,"-",0.396576319543509
2.82472072401056,"+",0
0,"-",0
1.45339535345086,"+",0.399429386590585
0,"-",0
0,"-",0.397799062563685
0,"-",0.365600163032403
0,"-",0.372936621153454
0,"-",0
0,"-",0.678214795190544
1.46046730918825,"+",0.426737314041166
2.11788137394577,"+",0.289178724271449
2.03456657545104,"+",0
0,"-",0.459751375585898
0,"-",0.368860811086203
3.08476409300719,"+",0
0,"-",0
3.03599117597002,"+",0
2.06162254239992,"+",0.449969431424496
1.46967931789398,"+",0
2.37635818765399,"+",0
0,"-",0.4102302832688
2.11873968172633,"+",0
2.64478693653227,"+",0.054004483391074
0,"-",0.262889749337681
0,"-",0
2.70929553127561,"+",0
2.01010809137879,"+",0
1.34581415361639,"+",0.450580802934583
0,"-",0.877521907479112
3.2677621845069,"+",0
0,"-",0.361116771958427
2.21520258963163,"+",0
2.28207713673916,"+",0.177705318932138
0,"-",0
0,"-",0
0,"-",0
2.33658009824673,"+",0.436926839209293
1.82327557732498,"+",0.325453433869982
2.10469630733118,"+",0.14102302832688
2.12520704909252,"+",0
0,"-",0.91991033217852
0,"-",0.100061137151009
2.85532106230035,"+",0
0,"-",0.463623395149786
0,"-",0.471367434277563
2.05684853102173,"+",0
2.39426682179279,"+",0.466680252700224
1.63576237807664,"+",0.182188710006114
0,"-",0
2.6788631072448,"+",0
0,"-",0.326064805380069
1.83181536916638,"+",0.432239657631954
2.23694740393301,"+",0
0,"-",0.196861626248217
1.69224146822582,"+",0.465661300183411
2.22030946179844,"+",0
0,"-",0
3.35692607791887,"+",0
0,"-",0
2.89074961544836,"+",0
0,"-",0.348074179743224
2.2058037184276,"+",0.374363154676992
0,"-",0
1.73147862064088,"+",0.414102302832688
0,"-",0
2.25546304997313,"+",0
0,"-",0.524352965151824
0,"-",0
2.14960885591511,"+",0.191155492154066
1.61781020413363,"+",0.287955981251274
0,"-",0
0,"-",0
0,"-",0
0,"-",0.827389443651926
1.20983792377833,"+",0
2.36492133554336,"+",0.309761565111066
0,"-",0
2.21884704134939,"+",0
3.39049660996152,"+",0
0.963659343840292,"+",0.225392296718973
0,"-",0
0,"-",0.0965966985938455
0,"-",0.304870593030365
1.97043442021444,"+",0.140819237823517
0,"-",0
0.46149344080973,"+",0.382922355818219
0,"-",0
0,"-",0
0,"-",0.180558385979213
0,"-",0.267576930915019
1.73762719249798,"+",0.419400855920114
0,"-",0
0,"-",0
0,"-",0
0,"-",0.466272671693499
2.3215222940138,"+",0
2.34392956406498,"+",0
2.57199359828721,"+",0
1.95609318492501,"+",0
0,"-",0
2.5838011126144,"+",0
1.95713651911897,"+",0.397595272060322
2.31245433874836,"+",0.325453433869982
3.05089391515557,"+",0.38862848991237
0,"-",0.363562257998777
0,"-",0
1.60164370269758,"+",0.572243733442022
1.81548135419864,"+",0
0,"-",0
2.46359024969614,"+",0.746077032810271
2.31081633660997,"+",0.440187487263094
0,"-",0
1.26962249442354,"+",0.285714285714286
0,"-",0.232321173833299
2.00120329370749,"+",0
0,"-",0
2.11232513354973,"+",0
3.12408724813577,"+",0
0,"-",0
0,"-",0
2.13896399210728,"+",0
0,"-",0
0,"-",0
0,"-",0.436111677195843
1.70482991525529,"+",0.328917872427145
0,"-",0
1.37654907291002,"+",0.0721418381903403
1.99130826597491,"+",0.455471775015284
1.54138858559963,"+",0.428775219074791
2.81630855691698,"+",0
0,"-",0.398614224577135
1.52192180973589,"+",0
2.20988713266972,"+",0.261667006317506
1.79845741791218,"+",0
2.27206758863022,"+",0
1.84627595203225,"+",0.366415325045853
0,"-",0
0,"-",0
0,"-",0.660688811901365
1.70926277259295,"+",0.380476869777868
