"GeneName","Ensembl","ENTREZID","exp.1","exp.2","avg_log2FC","p_val","p_val_adj","pct.1","pct.2","Description"
"SLCO2A1","ENSG00000174640",6578,5.1139028572636,0,12.7189169231997,0,0,1,0,"solute carrier organic anion transporter family member 2A1"
"TMEM26","ENSG00000196932",219623,0.0402071339308916,0,5.77250517772704,0.000250859245031842,1,0.01,0,"transmembrane protein 26"
"ZNF630","ENSG00000221994",57232,0.0216474521639982,0,4.91656315100692,0.000102563908689051,1,0.011,0,"zinc finger protein 630"
"TRPM6","ENSG00000119121",140803,0.0134148614485095,0,4.27435532805645,0.000250859245031842,1,0.01,0,"transient receptor potential cation channel subfamily M member 6"
"QRFPR","ENSG00000186867",84109,0.00815863935469349,0,3.63500622638781,4.21126762091916e-05,1,0.013,0,"pyroglutamylated RFamide peptide receptor"
"EFHB","ENSG00000163576",151651,0.0535886261228683,0.00397287123063677,3.5352518514713,0.000182343544496757,1,0.015,0.002,"EF-hand domain family member B"
"P2RY6","ENSG00000171631",5031,0.091385002645,0.00838661476723739,3.34072008188964,1.12681527137183e-05,0.276655685427212,0.032,0.007,"pyrimidinergic receptor P2Y6"
"RP11-166O4.6",NA,NA,0.0555665564825581,0.00520135138441332,3.25335103209948,0.000834146387717281,1,0.016,0.003,NA
"C4BPB","ENSG00000123843",725,0.0238562767090356,0.0022884222233763,3.04351789499912,0.00536692197048749,1,0.01,0.002,"complement component 4 binding protein beta"
"AQP9","ENSG00000103569",366,0.0540452225288283,0.00680291517395373,2.87083828384946,0.00981550774512065,1,0.015,0.005,"aquaporin 9"
"USP49","ENSG00000164663",25862,0.0685167757924562,0.00890612913401523,2.85208057487491,0.00120076786591406,1,0.019,0.005,"ubiquitin specific peptidase 49"
"LINC01353","ENSG00000231507",100506775,0.0228500539040331,0.00284784202121573,2.74138095595826,0.00389353070774709,1,0.014,0.003,"long intergenic non-protein coding RNA 1353"
"PDZRN4","ENSG00000165966",29951,0.0220461622128184,0.00273809217403971,2.73705672259392,0.00141394928727897,1,0.01,0.001,"PDZ domain containing ring finger 4"
"ZNF737","ENSG00000237440",100129842,0.0240731274666599,0.0031044774757935,2.71357877304968,0.00705293906604101,1,0.011,0.002,"zinc finger protein 737"
"CXCL11","ENSG00000169248",6373,0.646063659167752,0.0981261783504703,2.71068159376575,0.0384584354641338,1,0.029,0.016,"C-X-C motif chemokine ligand 11"
"CDH6","ENSG00000113361",1004,0.0097272974010731,0.000921230380556585,2.71031634350717,0.000583357226889889,1,0.011,0.001,"cadherin 6"
"RP11-299J3.8",NA,NA,0.0226157061903183,0.00304050730056266,2.6522121595923,0.0153115043036701,1,0.01,0.002,NA
"ABHD16A","ENSG00000204427",7920,0.0540461148416526,0.00817700448249904,2.62997525597868,0.0367467610712994,1,0.013,0.005,"abhydrolase domain containing 16A, phospholipase"
"KLK1","ENSG00000167748",3816,0.0475820719554633,0.0072035071828546,2.61709885955733,0.00710113828889614,1,0.011,0.002,"kallikrein 1"
"RP1-67K17.4",NA,NA,0.0178161010092022,0.00236436008940631,2.61128397975901,0.00531572001731956,1,0.01,0.002,NA
"COL13A1","ENSG00000197467",1305,0.0190124329059115,0.00265800047086629,2.56936131176163,0.00143201596238741,1,0.014,0.002,"collagen type XIII alpha 1 chain"
"LDHD","ENSG00000166816",197257,0.0525976370780577,0.00853543711306053,2.53495310592129,0.0103171748063796,1,0.016,0.005,"lactate dehydrogenase D"
"FANCE","ENSG00000112039",2178,0.0260164403327644,0.00421878592450051,2.45455167275227,0.00028054160638915,1,0.022,0.005,"FA complementation group E"
"GSTM2","ENSG00000213366",2946,0.0311116889157472,0.00527634279975341,2.42362163462411,0.0154117888718945,1,0.01,0.002,"glutathione S-transferase mu 2"
"E2F5","ENSG00000133740",1875,0.0207217013277244,0.00342261588628569,2.39475273577933,0.000185033447816116,1,0.015,0.002,"E2F transcription factor 5"
"XXbac-BPG157A10.21",NA,NA,0.0268160515835212,0.00463671694642136,2.37990851999764,0.0721785055672404,1,0.01,0.004,NA
"BOC","ENSG00000144857",91653,0.0215500560238599,0.00372010353144736,2.34894621592063,4.54255697048469e-06,0.11152885873934,0.023,0.002,"BOC cell adhesion associated, oncogene regulated"
"TTC26","ENSG00000105948",79989,0.0377330439946504,0.00700277382845893,2.32908430379715,4.55905706266613e-06,0.111933969002579,0.027,0.004,"tetratricopeptide repeat domain 26"
