"celltype","GSM3827114","GSM3827115","GSM3827116","GSM3827117","GSM3827118","GSM3827119","GSM3827120","GSM3827121","GSM3827122","GSM3827123","GSM3827124","GSM3827125","GSM3827126","GSM3827127","GSM3827128","GSM3827129","GSM3827130","GSM3827131","GSM3827132","GSM3827133","GSM3827134","GSM3827135","GSM3827136","GSM3827137","GSM3827139","GSM3827140","GSM3827141","GSM3827142","GSM3827143","GSM3827144","GSM3827145","GSM3827146","GSM3827147","GSM3827148","GSM3827149","GSM3827150","GSM3827151","GSM3827152","GSM3827153","GSM3827154","GSM3827155","GSM3827156","GSM3827157","GSM3827158","GSM3827159","GSM3827160","GSM3827161","GSM3827162","GSM3827163","GSM3827164","GSM3827165","GSM3827166","GSM3827167","GSM3827168","GSM3827169","GSM3827170","GSM3827171"
"B","1.37%","0.84%","1.16%","1.85%","1.16%","0.52%","0.38%","0.43%","0.62%","0.28%","0.82%","14.80%","23.06%","2.60%","8.83%","9.35%","1.55%","36.83%","6.72%","1.66%","0.68%","0.86%","5.23%","0.13%","4.39%","46.43%","46.52%","5.08%","54.00%","3.78%","3.52%","3.28%","29.05%","21.37%","20.32%","23.33%","32.71%","21.58%","18.60%","32.38%","24.51%","44.11%","8.95%","3.64%","19.85%","22.93%","24.93%","6.50%","0.62%","0.14%","0.76%","0.52%","0.20%","9.07%","4.80%","2.54%","0.90%"
"Endo","0.92%","0.34%","3.64%","2.28%","4.00%","10.79%","1.42%","0.33%","5.26%","4.41%","1.76%","1.67%","0.34%","0.69%","0.65%","3.85%","0.06%","0.65%","0.77%","4.03%","2.78%","0.78%","0.05%","0.08%","0.52%","0.11%","0.10%","0.04%","0.00%","0.11%","0.12%","0.00%","0.09%","0.00%","0.00%","0.00%","0.12%","0.00%","0.17%","0.11%","0.09%","0.05%","0.00%","0.00%","0.00%","0.00%","0.00%","0.10%","0.39%","3.90%","0.22%","0.56%","0.53%","0.13%","0.29%","1.17%","0.55%"
"Epi","5.61%","5.10%","7.08%","14.17%","7.02%","4.29%","4.59%","6.04%","7.59%","11.61%","11.09%","2.96%","2.58%","4.69%","12.64%","6.43%","8.76%","4.27%","20.60%","20.67%","5.67%","66.80%","49.35%","82.65%","13.97%","5.42%","3.32%","4.88%","7.90%","18.81%","2.93%","37.33%","5.01%","2.93%","4.06%","3.41%","6.54%","3.78%","7.08%","4.32%","5.63%","3.97%","3.85%","2.16%","2.27%","2.54%","3.32%","8.11%","75.48%","57.10%","8.81%","73.93%","77.66%","27.04%","7.25%","37.25%","19.73%"
"Fibro","0.44%","0.38%","0.55%","2.06%","3.19%","2.19%","0.27%","0.39%","6.21%","19.99%","3.56%","14.26%","5.57%","0.52%","6.54%","2.68%","0.55%","0.36%","7.78%","1.84%","9.25%","1.17%","7.35%","3.30%","3.30%","0.41%","0.17%","0.81%","0.64%","0.22%","0.41%","2.48%","0.03%","0.07%","0.04%","0.04%","0.56%","0.08%","0.15%","0.11%","0.00%","0.34%","0.02%","0.00%","0.00%","0.05%","0.00%","0.20%","1.80%","7.10%","3.81%","3.09%","1.51%","0.53%","1.96%","6.07%","4.59%"
"Mast","7.59%","1.14%","2.67%","4.34%","1.87%","4.97%","2.85%","1.71%","1.57%","0.71%","1.32%","2.99%","2.83%","1.49%","3.09%","10.07%","2.33%","4.64%","3.94%","12.35%","2.56%","1.53%","0.16%","0.88%","2.25%","0.00%","0.03%","0.43%","0.03%","0.54%","0.94%","0.57%","0.16%","0.04%","0.04%","0.04%","0.04%","0.00%","0.00%","0.08%","0.09%","0.05%","0.00%","0.04%","0.03%","0.10%","0.00%","2.87%","0.00%","0.07%","0.22%","0.02%","0.04%","11.01%","0.29%","0.26%","0.00%"
"Myeloid","39.76%","44.73%","39.07%","46.33%","44.91%","27.98%","59.65%","20.98%","21.32%","32.26%","32.17%","15.81%","4.92%","36.14%","32.89%","26.55%","22.82%","11.57%","24.01%","23.25%","5.94%","12.61%","18.80%","5.95%","16.55%","15.41%","22.97%","77.18%","3.68%","30.27%","16.55%","20.79%","1.73%","2.00%","1.62%","1.05%","0.40%","0.92%","1.89%","2.43%","1.45%","2.92%","17.23%","22.89%","29.60%","2.76%","0.79%","35.92%","9.24%","21.17%","42.66%","6.48%","11.05%","11.56%","15.18%","38.75%","66.75%"
"NK","22.77%","29.17%","27.04%","11.68%","17.22%","30.03%","17.01%","34.70%","27.45%","19.39%","32.48%","12.47%","8.56%","21.72%","10.88%","8.11%","19.11%","6.15%","17.99%","9.35%","22.10%","5.36%","10.41%","1.59%","23.23%","8.92%","4.15%","5.04%","5.16%","26.16%","31.22%","22.26%","5.73%","8.11%","10.53%","8.20%","10.21%","5.63%","10.71%","9.95%","9.77%","8.10%","19.76%","19.70%","12.95%","10.02%","6.53%","22.82%","3.66%","2.09%","16.76%","0.47%","0.41%","6.56%","14.40%","5.61%","3.69%"
"Oligo","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.18%","0.00%","0.03%","0.00%","0.40%","0.03%","0.00%","0.47%","0.21%","0.00%","0.00%","0.02%","0.00%","0.00%","0.03%","0.00%","0.00%","0.17%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.02%","0.00%","0.00%","0.00%","0.03%","3.12%","0.00%","0.35%","6.31%","0.56%","0.00%","0.58%","35.75%","3.72%","0.59%"
"pDC","1.03%","0.15%","0.19%","0.39%","0.40%","0.44%","0.23%","0.20%","0.53%","0.53%","0.29%","0.19%","0.34%","0.57%","0.25%","0.10%","0.61%","0.47%","0.69%","0.55%","0.42%","0.08%","0.41%","0.03%","0.28%","0.30%","0.24%","0.43%","0.47%","0.32%","0.12%","0.00%","0.69%","0.46%","1.17%","0.54%","0.28%","1.00%","0.53%","0.08%","0.19%","1.55%","1.50%","4.56%","1.22%","0.45%","0.03%","0.10%","0.11%","0.07%","0.11%","0.02%","0.00%","0.23%","0.59%","0.00%","0.16%"
"T","20.51%","18.14%","18.60%","16.92%","20.22%","18.80%","13.60%","35.23%","29.44%","10.82%","16.50%","34.86%","51.79%","31.59%","24.06%","32.85%","44.18%","35.05%","17.08%","26.28%","50.60%","10.34%","8.03%","5.40%","35.51%","22.98%","22.48%","6.12%","28.08%","19.78%","44.19%","13.12%","57.50%","65.01%","62.23%","63.39%","49.14%","67.01%","60.88%","50.55%","58.27%","38.90%","48.67%","47.00%","34.08%","61.15%","64.37%","20.25%","8.68%","8.01%","20.35%","14.34%","8.59%","33.32%","19.49%","4.63%","3.06%"
