"Var1","Var2","Correlation","P_value","Significance"
"PDL1","HOT_score",0.579262916593193,0,"***"
"HPGDS","HOT_score",0.14667607123964,0.133382572605606,"ns"
"PTGDS","HOT_score",0.413970829029901,1.23824130913608e-05,"***"
"PTGDR","HOT_score",0.290948938206917,0.0025709878820622,"**"
"SLCO2A1","HOT_score",-0.0319268458573696,0.744888881192764,"ns"
"HOT_score","PDL1",0.579262916593193,0,"***"
"HPGDS","PDL1",0.284117187696803,0.00326422546768556,"**"
"PTGDS","PDL1",0.155422324105096,0.111563164528415,"ns"
"PTGDR","PDL1",0.208574955286294,0.0320760945474348,"*"
"SLCO2A1","PDL1",0.0677381162304456,0.489638639884947,"ns"
"HOT_score","HPGDS",0.14667607123964,0.133382572605606,"ns"
"PDL1","HPGDS",0.284117187696803,0.00326422546768556,"**"
"PTGDS","HPGDS",0.452875532156082,1.4442893678625e-06,"***"
"PTGDR","HPGDS",0.122795173438799,0.209489237202774,"ns"
"SLCO2A1","HPGDS",0.205279995969469,0.0349416943248187,"*"
"HOT_score","PTGDS",0.413970829029901,1.23824130913608e-05,"***"
"PDL1","PTGDS",0.155422324105096,0.111563164528415,"ns"
"HPGDS","PTGDS",0.452875532156082,1.4442893678625e-06,"***"
"PTGDR","PTGDS",0.212565181247953,0.0288748187925615,"*"
"SLCO2A1","PTGDS",0.0922437463788195,0.346426874858355,"ns"
"HOT_score","PTGDR",0.290948938206917,0.0025709878820622,"**"
"PDL1","PTGDR",0.208574955286294,0.0320760945474348,"*"
"HPGDS","PTGDR",0.122795173438799,0.209489237202774,"ns"
"PTGDS","PTGDR",0.212565181247953,0.0288748187925615,"*"
"SLCO2A1","PTGDR",0.0775423835554324,0.4288848527373,"ns"
"HOT_score","SLCO2A1",-0.0319268458573696,0.744888881192764,"ns"
"PDL1","SLCO2A1",0.0677381162304456,0.489638639884947,"ns"
"HPGDS","SLCO2A1",0.205279995969469,0.0349416943248187,"*"
"PTGDS","SLCO2A1",0.0922437463788195,0.346426874858355,"ns"
"PTGDR","SLCO2A1",0.0775423835554324,0.4288848527373,"ns"
