HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
GSM748053	-0.312782037269648	Cold	5.57698155	7.502448	9.69987166666667	3.57456873333333	8.158352
GSM748054	-0.622622133768982	Cold	7.47167535	6.2910256	9.42705383333333	3.48608883333333	8.8420925
GSM748055	-0.645129138373207	Cold	5.8485641	6.101119	8.55453866666667	3.4628215	8.219795
GSM748057	-0.539018947864339	Cold	5.15017215	5.085161	8.719229	3.57938813333333	6.8192267
GSM748058	-0.362389186734992	Cold	5.9493552	7.446636	10.6206708333333	3.59426026666667	7.719277
GSM748064	0.143381812812138	Hot	6.36749435	7.5732374	9.537707	3.22227976666667	6.6077895
GSM748068	0.471988609311977	Hot	6.4773958	5.076155	9.1158221	3.5390842	7.6197743
GSM748071	0.0299520372648262	Hot	6.1952319	7.0836835	10.2605336666667	3.33919893333333	8.642052
GSM748075	0.476392183610046	Hot	6.3045776	7.4541283	9.0967222	3.74091576666667	8.610865
GSM748077	-0.311297077060886	Cold	5.58641885	5.445352	9.5775835	3.43872863333333	7.6398153
GSM748078	0.523513020835349	Hot	6.25849605	7.5751457	10.4532086666667	3.4634517	7.11003
GSM748079	0.767311169369712	Hot	6.687265	6.7960515	10.4162036666667	3.81950423333333	7.372176
GSM748080	0.233628587655623	Hot	6.06100335	6.107961	9.14549566666667	3.60305643333333	7.485207
GSM748081	-0.664425244896932	Cold	4.7071135	4.334032	7.92288166666667	3.4699849	7.32135
GSM748083	-0.066040089790422	Cold	5.8059299	6.334227	9.03238513333333	3.52640263333333	7.0975285
GSM748085	-0.611032470322628	Cold	4.75114985	6.128135	8.53807666666667	3.629722	7.390781
GSM748086	-0.280442678230212	Cold	5.8183973	6.1545463	8.48395433333333	3.51154843333333	7.116854
GSM748087	-0.462941503722906	Cold	5.6586714	7.8508916	10.132554	3.70869746666667	7.4284787
GSM748089	0.88190035388999	Hot	8.13219875	5.9880543	10.9642393333333	3.94990333333333	6.9791727
GSM748090	-0.102792772714041	Cold	5.523206	5.9052534	8.8858355	3.52003773333333	7.4052787
GSM748091	-0.151345551853318	Cold	6.0063438	4.853444	8.0894912	3.5096265	8.526942
GSM748092	0.215684528616556	Hot	6.30900375	4.5341487	9.32169133333333	3.59246196666667	6.5380635
GSM748094	-0.486610348735064	Cold	6.44603395	7.868064	8.19333933333333	3.50223033333333	6.4124556
GSM748100	-0.0622191972539089	Cold	6.34083175	5.342916	8.69134153333333	3.46877793333333	6.2597084
GSM748101	0.627315350761195	Hot	6.31934015	7.9206676	11.3721723333333	3.95171926666667	6.9812665
GSM748102	0.681275882192172	Hot	6.27165195	4.690802	10.030659	3.6594261	6.7690597
GSM748103	0.244498425595463	Hot	6.010369	7.1990767	11.0170503333333	3.7886143	7.8276973
GSM748104	-0.202151276569344	Cold	5.4911778	7.2431307	9.686894	3.47091013333333	7.2582045
GSM748108	0.774576636573216	Hot	6.7236019	6.9121037	9.99195233333333	3.84874123333333	7.944054
GSM748111	0.324147030322678	Hot	7.5915355	6.8852386	9.60596133333333	3.5834282	6.8033824
GSM748113	-0.692828374601321	Cold	4.58922785	3.6908908	6.92595946666667	3.45087343333333	8.075896
GSM748116	0.581070711009192	Hot	6.4605088	5.0492496	8.9486588	3.446761	9.319733
GSM748121	0.200740934611612	Hot	5.3288087	6.4264965	10.0870286666667	3.6527035	6.8515854
GSM748122	-0.630667367735277	Cold	5.0518577	5.305236	9.40616133333333	3.8444543	6.837101
GSM748123	0.46603912191815	Hot	6.78363625	5.4749956	10.6976246666667	3.65341476666667	8.229325
GSM748124	0.608000448070314	Hot	6.7714282	4.4493084	9.12406233333333	3.5716397	7.1863365
GSM748125	0.629897230536041	Hot	7.13541235	6.343596	10.6888873333333	3.57165163333333	7.835302
GSM748126	-0.013878431097254	Cold	5.5048947	5.809554	8.90017266666667	3.6167402	7.564458
GSM748127	0.689418008275967	Hot	6.656054	5.1303205	9.787408	3.75856743333333	6.6127434
GSM748128	0.423857442458253	Hot	6.34221775	5.3283005	9.490162	3.69459803333333	8.197248
GSM748130	-0.695788675212869	Cold	5.1853155	6.5992036	9.21841923333333	3.49047323333333	7.6361203
GSM748131	0.632065777119941	Hot	6.685924	6.4035234	10.2253748333333	3.69949516666667	7.751586
GSM748134	0.453973876156571	Hot	5.90691415	8.544561	11.2277906666667	4.046766	6.8026066
GSM748135	-0.593946882798886	Cold	4.99604345	5.6680927	8.64744266666667	3.43066843333333	7.1276
GSM748137	0.417945742022602	Hot	5.5989175	5.7707148	10.096549	3.5437759	7.86227
GSM748138	-0.0944296153677718	Cold	6.715168	4.612798	8.407824	3.52514393333333	8.685739
GSM748139	0.505469702598682	Hot	5.96009	4.8510275	8.98170533333333	3.70035663333333	8.285427
GSM748140	-0.653624814928023	Cold	5.12959405	4.295911	7.5149499	3.56138966666667	7.061089
GSM748142	-0.332996136593116	Cold	6.02881615	7.239336	10.6596633333333	3.50460753333333	8.216878
GSM748143	-0.498180126420385	Cold	5.96947245	8.888231	8.73496266666667	3.5570576	6.92891
GSM748146	0.556246808536319	Hot	7.25207	6.058808	9.6745325	3.63748503333333	8.204282
GSM748147	-0.325442593678045	Cold	5.38689615	5.8399167	10.006541	3.3332839	7.4294777
GSM748150	-0.278287015614856	Cold	5.31159165	6.395439	10.499969	3.56621223333333	8.233873
GSM748152	0.574093834235062	Hot	6.27464675	6.4367547	9.94487333333333	3.832481	7.461678
GSM748157	-0.495745711169919	Cold	5.2779021	5.8353295	8.73315543333333	3.61560093333333	7.67282
GSM748161	-0.325191072749129	Cold	5.693102	6.3014593	9.85152933333333	3.71799796666667	8.606348
GSM748162	0.597014992007983	Hot	7.329882	6.4302564	9.4371666	3.40818806666667	6.2532625
GSM748164	-0.168008256082358	Cold	5.53214985	7.824983	9.91311666666667	3.57260926666667	8.073171
GSM748166	0.459578761767242	Hot	6.012445	6.2098236	9.928576	3.7453829	7.016602
GSM748167	-0.335351384673437	Cold	5.90871365	6.766273	10.646685	3.61086936666667	7.743611
GSM748169	0.504844236501249	Hot	6.2505195	6.4967837	10.13355	3.4528973	8.388304
GSM748170	0.422799210108147	Hot	5.6006017	5.3336554	9.6017065	3.70145046666667	6.7344265
GSM748171	-0.533275176850282	Cold	6.47937925	7.992215	10.1612503333333	3.55979966666667	8.427939
GSM748173	-0.0555455303951751	Cold	6.6373558	7.3765306	9.860055	3.66296473333333	6.9210687
GSM748175	0.391941295505689	Hot	6.054601	6.270089	9.1517772	4.58552313333333	9.190108
GSM748178	-0.19063795922042	Cold	6.06087635	7.66996	9.27162666666667	3.4456184	7.1227283
GSM748179	-0.695072690298084	Cold	8.1275457	4.8937216	6.8552255	3.43857693333333	9.040084
GSM748180	0.230199401899658	Hot	5.91095635	6.417878	10.34402	3.40516413333333	7.1663656
GSM748181	-0.511692426456732	Cold	5.7996577	6.899508	10.4861863333333	3.5213861	8.141417
GSM748185	0.0984974524930699	Hot	7.5212098	3.7481713	6.61868983333333	3.7047569	7.050493
GSM748186	0.551073734447872	Hot	7.9507448	4.7998095	9.5622078	3.75172483333333	6.927624
GSM748187	0.644059027730821	Hot	7.111643	8.557033	10.417581	3.78979173333333	8.208644
GSM748188	-0.0557745054981929	Cold	5.58811365	5.0295715	8.93624756666667	3.54805493333333	7.5437326
GSM748189	0.78004174483909	Hot	7.6138455	4.8080378	10.643069	3.77907063333333	6.8031883
GSM748239	-0.391468698966259	Cold	8.5163385	4.6483	8.5506388	3.4820425	6.167329
GSM748240	-0.760917212904876	Cold	5.25081	4.7884316	7.47294466666667	3.5402357	7.281283
GSM748242	0.350783633842067	Hot	6.15365275	5.2155485	9.727812	3.50713966666667	9.334597
GSM748243	-0.0990942102002472	Cold	5.8117878	5.038188	9.12945986666667	3.5879751	7.8826118
GSM748264	-0.0967095628183872	Cold	5.77613275	8.039274	9.37828276666667	3.3104136	7.918022
GSM748271	-0.535416162487487	Cold	5.43953535	4.398315	7.8166361	3.4174951	5.2036448
GSM748276	0.546762151751012	Hot	7.3978295	6.4438815	9.60078	3.5165462	6.287893
GSM748277	-0.687222133015281	Cold	4.5792625	4.426114	7.9409345	3.53396696666667	6.440592
GSM748278	0.133767995449186	Hot	5.6301755	5.0635858	9.92121133333333	3.7375172	7.503183
GSM748279	-0.112773139323553	Cold	5.8496065	4.2934885	8.3761253	3.41851696666667	7.98147
GSM1465989	-0.424738242011825	Cold	5.83104535	7.812723	8.36311	3.56995713333333	8.148881
