HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-35-5375_T_LUAD	0.463421985873613	Hot	8.3911	1.5891	0.981	0.2277	7.9643
TCGA-55-A4DF_T_LUAD	0.427933475826771	Hot	28.9843	0.655	3.8805	1.0585	30.3855
TCGA-95-8039_T_LUAD	-0.0717034533839404	Cold	12.2293	9.881	2.9529	0.7943	46.4507
TCGA-MP-A4T4_T_LUAD	0.735653241605431	Hot	50.7131	4.112	1.6223	1.7165	31.6002
TCGA-62-A471_T_LUAD	-0.535158812093687	Cold	3.6651	0.4688	0.7559	0.3711	5.5424
TCGA-L9-A5IP_T_LUAD	-0.654268662018825	Cold	9.5683	0.8172	0.159	0.9702	18.8419
TCGA-50-5936_T_LUAD	-0.374352833124251	Cold	4.3828	0.7416	0.5292	0.428	23.2586
TCGA-49-AARR_T_LUAD	-0.00752916134855683	Cold	10.8036	6.4118	10.1656	1.1686	60.2614
TCGA-78-8662_T_LUAD	-0.730247763927791	Cold	1.8625	1.0571	0.4702	0.2092	18.2601
TCGA-05-4430_T_LUAD	0.387935353681826	Hot	8.6201	10.6495	2.9076	0.5624	111.7896
TCGA-44-7659_T_LUAD	-0.516984320802825	Cold	7.7361	6.9358	2.4274	0.2979	21.4514
TCGA-44-6146_T_LUAD	-0.558511612538982	Cold	1.7013	0.6711	1.3234	0.1549	6.6686
TCGA-L9-A50W_T_LUAD	-0.552832931500102	Cold	2.0931	11.6493	1.5219	0.3385	503.4328
TCGA-75-7025_T_LUAD	-0.281120267673022	Cold	4.6509	7.017	6.784	0.7429	51.1869
TCGA-05-4424_T_LUAD	0.303849194333088	Hot	5.9057	4.5886	1.5401	0.4373	59.2273
TCGA-62-A46P_T_LUAD	-0.662712955026794	Cold	1.6495	1.6049	1.978	0.3088	25.9187
TCGA-38-4627_T_LUAD	0.176912173707618	Hot	4.8609	7.037	2.6396	0.724	63.3658
TCGA-86-8073_T_LUAD	-0.644616928878316	Cold	4.3464	6.9381	9.3317	0.7641	22.1471
TCGA-69-7765_T_LUAD	0.197519049078671	Hot	7.5169	4.6578	2.1874	0.4266	22.475
TCGA-55-6984_T_LUAD	-0.519031839585035	Cold	3.0464	0.6148	0.9913	0.4562	12.8735
TCGA-69-7764_T_LUAD	-0.173944976002432	Cold	3.3458	1.0328	1.9923	0.9952	53.2649
TCGA-NJ-A4YI_T_LUAD	-0.717903707860215	Cold	26.4954	4.6045	1.7087	0.3337	33.1117
TCGA-86-A4P7_T_LUAD	0.152074579251063	Hot	7.2808	4.4058	9.0548	2.0196	54.6439
TCGA-55-8620_T_LUAD	0.187974003041182	Hot	6.0197	0.781	3.0075	0.6263	6.1264
TCGA-97-8177_T_LUAD	0.138142390139448	Hot	4.3105	15.1155	2.5037	0.4368	16.4465
TCGA-50-6595_T_LUAD	0.506351544573922	Hot	64.666	0.6462	2.0119	0.7832	56.3142
TCGA-55-A492_T_LUAD	-0.611316749299319	Cold	1.0709	3.0696	3.7046	0.3511	23.1907
TCGA-78-7633_T_LUAD	-0.775809505181935	Cold	2.077	1.6859	0.8412	0.2545	33.7914
TCGA-97-A4LX_T_LUAD	0.838257506500264	Hot	29.9679	10.2968	6.8734	2.053	44.5418
TCGA-78-7220_T_LUAD	-0.585759999637534	Cold	5.5893	0.8785	0.7164	0.2897	16.6218
TCGA-53-7624_T_LUAD	-0.222734305344551	Cold	22.2618	0.2762	2.2112	0.3552	79.7639
TCGA-49-AARN_T_LUAD	-0.386022958390652	Cold	9.9916	4.9531	3.5273	0.5109	24.9501
TCGA-62-A46R_T_LUAD	-0.121349481058793	Cold	8.8538	11.8127	1.778	0.452	10.5606
TCGA-78-7156_T_LUAD	-0.605923264490937	Cold	1.781	1.7763	0.978	0.7201	51.8552
TCGA-50-8457_T_LUAD	0.606051114311269	Hot	3.8888	10.1245	3.4177	1.6636	33.1047
TCGA-91-8496_T_LUAD	0.127154912962349	Hot	7.8064	15.0628	1.9652	0.978	12.7211
TCGA-55-8092_T_LUAD	0.469794033963865	Hot	6.4184	0.154	2.2508	1.4576	2.9941
TCGA-NJ-A4YQ_T_LUAD	0.712172717861216	Hot	8.1605	2.3001	7.088	2.0513	5.9418
TCGA-50-5072_T_LUAD	-0.696255181561417	Cold	5.6174	1.4127	1.9898	0.5591	34.2073
TCGA-91-6831_T_LUAD	-0.227966571620551	Cold	6.9142	0.4592	0.0357	1.3994	37.0973
TCGA-91-A4BD_T_LUAD	-0.280205745322739	Cold	3.3261	9.5646	1.6687	0.5711	7.6217
TCGA-69-8255_T_LUAD	0.51840859409135	Hot	6.1713	0.4602	1.6681	0.4383	3.9439
TCGA-69-8253_T_LUAD	-0.64383536167923	Cold	2.5117	1.5872	1.3759	0.2249	35.1339
