HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
GSM1019139	-0.208247688095743	Cold	7.3496849805	8.715832701	9.68038547666667	4.117539421	8.607662535
GSM1019140	0.518649298280689	Hot	7.2175316315	8.22195184	11.4786819383333	4.31454121633333	9.029186803
GSM1019143	-0.497094516429109	Cold	5.599676106	5.334010441	9.31851582	4.12468468866667	8.578973983
GSM1019144	-0.467963116850739	Cold	6.689358692	5.82480357	9.45943478033333	4.29724254633333	9.187075409
GSM1019145	-0.588623768628586	Cold	6.456034573	5.482010893	10.466206188	4.16877959633333	8.11468142
GSM1019147	0.143000365023308	Hot	7.147391763	8.161701589	9.776217932	3.92842807033333	8.305260873
GSM1019149	-0.00398704593271434	Cold	7.0683508905	8.814883161	10.965352283	4.07253637933333	8.614690103
GSM1019150	0.41298687669975	Hot	7.7039915135	6.31976362	9.40584216566667	3.96226433266667	7.704630967
GSM1019152	-0.00445785445513329	Cold	6.6539725245	4.899656861	7.97797344066667	3.847118024	7.755367006
GSM1019153	-0.488741763521522	Cold	6.345998576	7.639004317	9.224537636	4.19529314433333	9.427522106
GSM1019154	-0.17774471622981	Cold	6.3397590275	5.168210624	8.68650759533333	3.959669553	8.235846571
GSM1019158	-0.721139465594065	Cold	6.6495271905	6.435272285	9.552348971	4.032025022	8.598916344
GSM1019160	-0.171551120169101	Cold	6.4323067775	4.855053058	8.73817401333333	4.09283989733333	8.344138758
GSM1019162	0.473750827577769	Hot	8.852088872	8.446817334	9.11806704933333	3.890028082	9.004443596
GSM1019163	-0.531848600959822	Cold	6.5563604155	6.876208445	8.415041297	4.12310390666667	7.806013719
GSM1019164	0.638652153862569	Hot	7.050016954	6.47177719	10.3842175646667	4.29201249733333	8.559136696
GSM1019165	0.729867808860663	Hot	8.6336243905	5.74957224	10.0767920676667	4.43570139666667	7.182845893
GSM1019166	-0.68642066847052	Cold	6.0085526505	7.295910969	9.299903806	3.90818028933333	7.666497639
GSM1019169	-0.480638478999739	Cold	8.004793658	7.039639131	8.913333394	4.00958250333333	8.273917613
GSM1019170	0.361102838901529	Hot	6.7752931735	5.053844038	8.84343667833333	4.003099345	6.862603877
GSM1019171	0.609436148844795	Hot	6.971837298	8.150681201	11.509073517	4.003727607	7.751794225
GSM1019174	0.290311923440447	Hot	7.2793102285	5.571778941	7.78741442366667	4.29059045566667	8.70718411
GSM1019175	-0.542604667063609	Cold	7.56567363	7.867925088	9.06410516266667	4.22116126433333	8.217292836
GSM1019176	-0.108662973516417	Cold	6.045292328	7.019581519	11.3136110413333	4.60919714066667	8.381746789
GSM1019180	0.512010931171073	Hot	8.688942686	5.922350743	9.150736156	4.27001425766667	10.17702642
GSM1019181	0.494467903829217	Hot	7.7587631845	7.593972692	9.78241448866667	3.97189241933333	9.051464694
GSM1019183	0.562659645922003	Hot	7.8738747835	5.950857529	9.750697163	4.04437867233333	8.278448642
GSM1019185	0.274344451826754	Hot	7.0753953535	7.470050474	10.052944493	4.24009058233333	7.346763829
GSM1019186	0.174244081739827	Hot	6.4212053065	4.993031522	9.30192355666667	4.233270861	9.292073264
GSM1019187	-0.69114031442053	Cold	6.716783655	4.982152711	9.23877988	4.06559132066667	7.239153366
GSM1019188	0.458066389395863	Hot	6.484587632	5.00448879	10.0072939416667	3.93139397333333	9.20302474
GSM1019190	0.415680002236208	Hot	6.783493839	8.828768707	11.358673615	4.37193978633333	9.151878219
GSM1019192	0.562768912531905	Hot	6.9537275175	7.422956156	11.81604928	4.47245629866667	8.235817985
GSM1019194	-0.286118708727424	Cold	6.6000758055	7.462453505	10.3954687586667	4.385982327	8.349032764
GSM1019196	-0.542039978206204	Cold	5.884458233	7.322081688	10.1399909323333	4.02394211633333	8.244180263
GSM1019197	-0.300286589945903	Cold	6.8111189485	5.026717264	8.78073786466667	3.868350517	6.763248288
GSM1019200	-0.650335125500119	Cold	6.704418137	7.099603245	7.51336086833333	4.14432650466667	7.838726052
GSM1019203	0.189444778007087	Hot	7.6858435935	8.051421761	9.31634563633333	4.03965145533333	10.90471944
GSM1019204	-0.654312357443763	Cold	7.942928138	7.14560954	8.39461171066667	4.07469809366667	7.158041701
GSM1019205	0.553452058886125	Hot	9.3479078195	8.81689973	10.2419806883333	4.24007086666667	9.514590022
GSM1019207	0.0197341684875205	Hot	6.0855118725	5.456027453	8.956344803	4.64267489566667	6.648961592
GSM1019210	-0.453840701514937	Cold	6.546061642	7.297906793	9.815269336	4.18934471166667	8.729761998
GSM1019211	-0.317022546872545	Cold	7.532892264	6.987635802	9.65275380433333	4.25843295666667	9.82856874
GSM1019213	-0.136826566152236	Cold	7.2047052825	6.165847178	7.83924696833333	4.23456521066667	9.286571602
GSM1019214	0.355833703928342	Hot	6.682242097	7.310218	10.1610690526667	3.93330403933333	7.961659717
GSM1019216	-0.721338010582364	Cold	5.863810541	5.950981548	7.57234203133333	4.03116210266667	5.998599013
GSM1019217	-0.708280051164509	Cold	6.283972482	6.956016979	9.21063680766667	4.22222534133333	8.625539268
GSM1019218	0.589197833873138	Hot	7.6789337	4.666940038	9.25535062266667	4.19574201233333	6.163476517
GSM1019220	0.592097148335317	Hot	7.072802855	5.80433882	9.893917745	4.33510845866667	7.936482496
GSM1019224	-0.724400198140137	Cold	5.917770738	4.896408387	7.73432927366667	4.23131720566667	8.969345723
GSM1019225	0.813972892548276	Hot	7.708818544	5.763193011	10.7415601513333	4.13236273333333	7.902530587
GSM1019228	0.622496954080465	Hot	7.8139188565	7.762618722	10.3222868543333	4.51537822433333	8.171061322
GSM1019230	0.290838690978892	Hot	7.4070233625	5.501687276	7.825605332	4.231843474	6.928254757
GSM1019234	0.16600951198882	Hot	6.9215630765	6.05707164	9.08514407233333	4.07874133333333	8.593540902
GSM1019236	-0.673909418646446	Cold	7.834971719	8.101816745	10.5564478033333	4.13562447666667	9.676492673
GSM1019239	-0.618178056062696	Cold	7.282399158	5.640906881	8.57752071833333	4.32396472233333	9.395162625
GSM1019242	0.567931305087609	Hot	6.7428194745	7.85586041	11.1388458353333	4.644695025	8.760420234
GSM1019243	0.0678169204637555	Hot	6.1979187115	6.723452929	9.74876513833333	4.03724066833333	6.908036964
GSM1019244	0.154810627182698	Hot	6.2225246905	8.130306158	9.47083801333333	4.32966124033333	8.434834735
GSM1019247	0.316958798546754	Hot	7.043639049	7.268120593	10.7607544403333	4.29789675566667	8.024456915
GSM1019249	0.435501115964398	Hot	6.82525137	8.686369949	10.4359755666667	4.17932402133333	7.750606044
GSM1019253	-0.116509324363113	Cold	6.019232112	6.341639203	9.320127913	4.13472790766667	9.195775095
GSM1019254	0.492791428266251	Hot	6.766329457	6.282116918	9.293196305	4.55755098	8.924241079
GSM1019256	0.334547270881693	Hot	6.872851014	6.606104719	9.75817757133333	3.972304125	6.703145963
GSM1019257	-0.02218527108037	Cold	7.0005423575	7.337052316	11.1240171766667	4.13190573033333	8.821922077
