B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM773540	-0.325433042499304	-0.301352906916521	-0.0921776193733234	-0.275431700071931	-0.257692371274643	-0.231056325716821	-0.0118882198532104	-0.247285284888379	-0.152350567083126	-0.234935262069318	-0.184155605739375	-0.166744819656246	-0.447706061461828	-0.357839932600041	0.00185169978533072	-0.268343721573261	-0.100834640961598	-0.240460506105449
GSM773541	-0.286311184139925	-0.249077113839526	0.0120768052894908	-0.214354699061779	-0.391423179935928	-0.201484497982559	0.0451911567679477	-0.266079726879672	0.0104373847639855	-0.292392838360719	-0.0314541914709404	0.135698334918856	-0.420726033322571	-0.310859801160946	0.0542628760164347	-0.174741790296874	-0.0644411436771841	-0.192620019028449
GSM773542	-0.268380454727806	-0.269781662605866	-0.0803707805474597	-0.262325292848129	-0.379926423175922	-0.263514997844921	-0.0427976671461544	-0.312149666326709	0.0218024565437004	-0.310116718199446	-0.0697108980361709	0.0195661921177617	-0.46561229746973	-0.347796721114543	-0.107459683398344	-0.182317780158189	-0.130951660365142	-0.204342946293839
GSM773543	-0.146069605178167	-0.42000231085271	-0.118454275742654	-0.198483961158106	-0.395137942085174	-0.235337771066757	0.160729617344761	-0.179027044641847	-0.0921835977448592	-0.215713762365058	-0.173821204999712	-0.0875037369923347	-0.496136496871772	-0.312210146166408	-0.0109360036217941	-0.237175761374485	-0.0418348214075287	-0.173202359126597
GSM773544	-0.225223010638063	-0.341701556014011	-0.146535630297969	-0.238846083348413	-0.36142252302806	-0.2742898879307	-0.0239395402424833	-0.307948129722413	0.0233337595328618	-0.280553938606049	-0.238722725760482	-0.0650638745894863	-0.434404446395111	-0.395227463302109	-0.124302921641958	-0.188275126837194	-0.155452901678588	-0.264784734562118
GSM773545	-0.158692013078811	-0.267599170408409	0.129573499232714	-0.1098566330393	-0.319246453418301	-0.180744821319549	0.253042235891555	-0.264117841166461	0.0235712577348111	-0.045824837948578	-0.306315150581899	-0.0582354093616149	-0.437556848783369	-0.363679915911032	0.177243304274085	-0.0402550539443869	0.0102933559988464	-0.090266071789785
GSM773546	-0.268260884573527	-0.273642926622123	-0.0803128691596262	-0.243999497911197	-0.395085298023478	-0.303748151705983	-0.0353427247013337	-0.296187798672185	0.0987704624741093	-0.204769517036109	-0.176356141758293	0.00108307609101784	-0.417512876367248	-0.412756320545387	-0.0357783771328049	-0.247379943041315	-0.109947837138795	-0.206713339847744
GSM773547	-0.194512382359781	-0.304134359511827	0.0386064433174918	-0.164885657146692	-0.338604874165078	-0.211401146741706	0.273142497141388	-0.342434763417612	0.0768336069415151	-0.122149031654007	-0.0618675377117965	-0.0583928651753212	-0.432046270831674	-0.38168232179418	0.0494419292287414	-0.0403325919567419	-0.10312831681468	-0.167853880176311
GSM773548	-0.331228399347297	-0.338935909057264	-0.102811546949599	-0.202736399334468	-0.343656922353587	-0.257269235547824	0.133678392534854	-0.378991291799838	-0.00690265132642204	-0.174905660182497	-0.207754765218282	-0.185025449544096	-0.471912955530231	-0.349917856407738	-0.0301558085869836	-0.189427960430086	-0.141278791277972	-0.232088530592105
GSM773549	-0.135065476320198	-0.27507545405564	0.0832369664149497	-0.154529653526305	-0.378108538142684	-0.173841365568699	0.154099354121017	-0.257373197805357	-0.0204853685236927	-0.126594463907239	-0.196544967345477	0.0390477173828352	-0.437722165176197	-0.416195361533364	0.122868320157073	-0.0601363061276586	-0.00581645401740697	-0.121769907028445
