"Var1","Var2","Correlation","P_value","Significance"
"PDL1","HOT_score",0.626128590971272,0,"***"
"HPGDS","HOT_score",0.0882352941176471,0.421231917782023,"ns"
"PTGDS","HOT_score",0.515595075239398,6.61504699697926e-07,"***"
"PTGDR","HOT_score",0.445241352354895,2.39384543498692e-05,"***"
"SLCO2A1","HOT_score",-0.0641586867305062,0.55895643487426,"ns"
"HOT_score","PDL1",0.626128590971272,0,"***"
"HPGDS","PDL1",0.0919288645690835,0.401995365102741,"ns"
"PTGDS","PDL1",0.262478014461599,0.0154586144734443,"*"
"PTGDR","PDL1",0.186515536447137,0.087438952705737,"ns"
"SLCO2A1","PDL1",0.00216923978893883,0.984316676623776,"ns"
"HOT_score","HPGDS",0.0882352941176471,0.421231917782023,"ns"
"PDL1","HPGDS",0.0919288645690835,0.401995365102741,"ns"
"PTGDS","HPGDS",0.528551885870627,3.14295436270996e-07,"***"
"PTGDR","HPGDS",0.0821770568692593,0.453910755738818,"ns"
"SLCO2A1","HPGDS",0.0969317959742036,0.376785363413767,"ns"
"HOT_score","PTGDS",0.515595075239398,6.61504699697926e-07,"***"
"PDL1","PTGDS",0.262478014461599,0.0154586144734443,"*"
"HPGDS","PTGDS",0.528551885870627,3.14295436270996e-07,"***"
"PTGDR","PTGDS",0.375552081297635,0.000435590870735358,"***"
"SLCO2A1","PTGDS",0.0896228258745359,0.413943811560365,"ns"
"HOT_score","PTGDR",0.445241352354895,2.39384543498692e-05,"***"
"PDL1","PTGDR",0.186515536447137,0.087438952705737,"ns"
"HPGDS","PTGDR",0.0821770568692593,0.453910755738818,"ns"
"PTGDS","PTGDR",0.375552081297635,0.000435590870735358,"***"
"SLCO2A1","PTGDR",-0.0565565761188196,0.606519163642003,"ns"
"HOT_score","SLCO2A1",-0.0641586867305062,0.55895643487426,"ns"
"PDL1","SLCO2A1",0.00216923978893883,0.984316676623776,"ns"
"HPGDS","SLCO2A1",0.0969317959742036,0.376785363413767,"ns"
"PTGDS","SLCO2A1",0.0896228258745359,0.413943811560365,"ns"
"PTGDR","SLCO2A1",-0.0565565761188196,0.606519163642003,"ns"
