"Var1","Var2","Correlation","P_value","Significance"
"PDL1","HOT_score",0.580842244974284,0,"***"
"HPGDS","HOT_score",0.227257956908665,2.51089616818724e-07,"***"
"PTGDS","HOT_score",0.45856540292815,1.41984896800737e-27,"***"
"PTGDR","HOT_score",0.601072959009974,7.98709067430264e-51,"***"
"SLCO2A1","HOT_score",0.07549497920539,0.0904383650312182,"ns"
"HOT_score","PDL1",0.580842244974284,0,"***"
"HPGDS","PDL1",0.293132677136912,1.91341002637511e-11,"***"
"PTGDS","PDL1",0.221911534609213,4.84349377454247e-07,"***"
"PTGDR","PDL1",0.403317483903166,3.88246942445728e-21,"***"
"SLCO2A1","PDL1",0.191319410271047,1.585981123962e-05,"***"
"HOT_score","HPGDS",0.227257956908665,2.51089616818724e-07,"***"
"PDL1","HPGDS",0.293132677136912,1.91341002637511e-11,"***"
"PTGDS","HPGDS",0.331625678818446,2.10809569996555e-14,"***"
"PTGDR","HPGDS",0.163552110230493,0.000226488072857617,"***"
"SLCO2A1","HPGDS",0.369775649961046,8.92181305064816e-18,"***"
"HOT_score","PTGDS",0.45856540292815,1.41984896800737e-27,"***"
"PDL1","PTGDS",0.221911534609213,4.84349377454247e-07,"***"
"HPGDS","PTGDS",0.331625678818446,2.10809569996555e-14,"***"
"PTGDR","PTGDS",0.474530591552921,1.15265368897485e-29,"***"
"SLCO2A1","PTGDS",0.201069448492202,5.38162661406715e-06,"***"
"HOT_score","PTGDR",0.601072959009974,7.98709067430264e-51,"***"
"PDL1","PTGDR",0.403317483903166,3.88246942445728e-21,"***"
"HPGDS","PTGDR",0.163552110230493,0.000226488072857617,"***"
"PTGDS","PTGDR",0.474530591552921,1.15265368897485e-29,"***"
"SLCO2A1","PTGDR",0.137516892402518,0.00197281957729369,"**"
"HOT_score","SLCO2A1",0.07549497920539,0.0904383650312182,"ns"
"PDL1","SLCO2A1",0.191319410271047,1.585981123962e-05,"***"
"HPGDS","SLCO2A1",0.369775649961046,8.92181305064816e-18,"***"
"PTGDS","SLCO2A1",0.201069448492202,5.38162661406715e-06,"***"
"PTGDR","SLCO2A1",0.137516892402518,0.00197281957729369,"**"
