SLCO2A1	PTGDR	PTGDS	HPGDS
GSM1019139	8.607662535	4.117539421	9.68038547666667	8.715832701
GSM1019140	9.029186803	4.31454121633333	11.4786819383333	8.22195184
GSM1019143	8.578973983	4.12468468866667	9.31851582	5.334010441
GSM1019144	9.187075409	4.29724254633333	9.45943478033333	5.82480357
GSM1019145	8.11468142	4.16877959633333	10.466206188	5.482010893
GSM1019147	8.305260873	3.92842807033333	9.776217932	8.161701589
GSM1019149	8.614690103	4.07253637933333	10.965352283	8.814883161
GSM1019150	7.704630967	3.96226433266667	9.40584216566667	6.31976362
GSM1019152	7.755367006	3.847118024	7.97797344066667	4.899656861
GSM1019153	9.427522106	4.19529314433333	9.224537636	7.639004317
GSM1019154	8.235846571	3.959669553	8.68650759533333	5.168210624
GSM1019158	8.598916344	4.032025022	9.552348971	6.435272285
GSM1019160	8.344138758	4.09283989733333	8.73817401333333	4.855053058
GSM1019162	9.004443596	3.890028082	9.11806704933333	8.446817334
GSM1019163	7.806013719	4.12310390666667	8.415041297	6.876208445
GSM1019164	8.559136696	4.29201249733333	10.3842175646667	6.47177719
GSM1019165	7.182845893	4.43570139666667	10.0767920676667	5.74957224
GSM1019166	7.666497639	3.90818028933333	9.299903806	7.295910969
GSM1019169	8.273917613	4.00958250333333	8.913333394	7.039639131
GSM1019170	6.862603877	4.003099345	8.84343667833333	5.053844038
GSM1019171	7.751794225	4.003727607	11.509073517	8.150681201
GSM1019174	8.70718411	4.29059045566667	7.78741442366667	5.571778941
GSM1019175	8.217292836	4.22116126433333	9.06410516266667	7.867925088
GSM1019176	8.381746789	4.60919714066667	11.3136110413333	7.019581519
GSM1019180	10.17702642	4.27001425766667	9.150736156	5.922350743
GSM1019181	9.051464694	3.97189241933333	9.78241448866667	7.593972692
GSM1019183	8.278448642	4.04437867233333	9.750697163	5.950857529
GSM1019185	7.346763829	4.24009058233333	10.052944493	7.470050474
GSM1019186	9.292073264	4.233270861	9.30192355666667	4.993031522
GSM1019187	7.239153366	4.06559132066667	9.23877988	4.982152711
GSM1019188	9.20302474	3.93139397333333	10.0072939416667	5.00448879
GSM1019190	9.151878219	4.37193978633333	11.358673615	8.828768707
GSM1019192	8.235817985	4.47245629866667	11.81604928	7.422956156
GSM1019194	8.349032764	4.385982327	10.3954687586667	7.462453505
GSM1019196	8.244180263	4.02394211633333	10.1399909323333	7.322081688
GSM1019197	6.763248288	3.868350517	8.78073786466667	5.026717264
GSM1019200	7.838726052	4.14432650466667	7.51336086833333	7.099603245
GSM1019203	10.90471944	4.03965145533333	9.31634563633333	8.051421761
GSM1019204	7.158041701	4.07469809366667	8.39461171066667	7.14560954
GSM1019205	9.514590022	4.24007086666667	10.2419806883333	8.81689973
GSM1019207	6.648961592	4.64267489566667	8.956344803	5.456027453
GSM1019210	8.729761998	4.18934471166667	9.815269336	7.297906793
GSM1019211	9.82856874	4.25843295666667	9.65275380433333	6.987635802
GSM1019213	9.286571602	4.23456521066667	7.83924696833333	6.165847178
GSM1019214	7.961659717	3.93330403933333	10.1610690526667	7.310218
GSM1019216	5.998599013	4.03116210266667	7.57234203133333	5.950981548
GSM1019217	8.625539268	4.22222534133333	9.21063680766667	6.956016979
GSM1019218	6.163476517	4.19574201233333	9.25535062266667	4.666940038
GSM1019220	7.936482496	4.33510845866667	9.893917745	5.80433882
GSM1019224	8.969345723	4.23131720566667	7.73432927366667	4.896408387
GSM1019225	7.902530587	4.13236273333333	10.7415601513333	5.763193011
GSM1019228	8.171061322	4.51537822433333	10.3222868543333	7.762618722
GSM1019230	6.928254757	4.231843474	7.825605332	5.501687276
GSM1019234	8.593540902	4.07874133333333	9.08514407233333	6.05707164
GSM1019236	9.676492673	4.13562447666667	10.5564478033333	8.101816745
GSM1019239	9.395162625	4.32396472233333	8.57752071833333	5.640906881
GSM1019242	8.760420234	4.644695025	11.1388458353333	7.85586041
GSM1019243	6.908036964	4.03724066833333	9.74876513833333	6.723452929
GSM1019244	8.434834735	4.32966124033333	9.47083801333333	8.130306158
GSM1019247	8.024456915	4.29789675566667	10.7607544403333	7.268120593
GSM1019249	7.750606044	4.17932402133333	10.4359755666667	8.686369949
GSM1019253	9.195775095	4.13472790766667	9.320127913	6.341639203
GSM1019254	8.924241079	4.55755098	9.293196305	6.282116918
GSM1019256	6.703145963	3.972304125	9.75817757133333	6.606104719
GSM1019257	8.821922077	4.13190573033333	11.1240171766667	7.337052316
GSM1019258	7.760501711	4.16386097366667	11.7902795333333	8.124464439
GSM1019259	8.919595449	3.942828075	9.30947766966667	6.990698495
GSM1019260	8.27735779	4.49266454533333	10.2783077973333	7.363811684
GSM1019261	7.502904904	4.06239686733333	8.62512733666667	4.731810558
GSM1019264	9.337766086	4.20650326866667	9.647235126	7.554198205
GSM1019265	8.721638184	4.220664089	8.426920486	7.694413321
GSM1019268	9.209503699	4.007089885	9.157575158	6.152659868
GSM1019270	8.412563745	3.86700079966667	9.42362220866667	7.750757469
GSM1019272	7.685160008	4.06593904666667	8.968808273	8.018153434
GSM1019273	7.858171031	4.01271249366667	9.401946923	9.142240881
GSM1019274	8.861619853	3.90479858966667	8.52409558266667	6.245193616
GSM1019275	8.655654581	4.29470167933333	10.1009031263333	8.038799481
GSM1019283	8.162855374	4.38902935333333	10.4990773976667	6.079782295
GSM1019285	8.181206471	4.09282243733333	9.640850877	6.162722901
GSM1019286	10.06481797	4.06250208666667	9.40865357066667	6.904525823
GSM1019288	10.23655891	4.03414785166667	9.16426336233333	7.70691214
GSM1019289	8.815381727	4.29486397666667	8.749706099	5.878471678
