SLCO2A1	PTGDR	PTGDS	HPGDS
TCGA-35-5375_T_LUAD	7.9643	0.2277	0.981	1.5891
TCGA-55-A4DF_T_LUAD	30.3855	1.0585	3.8805	0.655
TCGA-95-8039_T_LUAD	46.4507	0.7943	2.9529	9.881
TCGA-MP-A4T4_T_LUAD	31.6002	1.7165	1.6223	4.112
TCGA-62-A471_T_LUAD	5.5424	0.3711	0.7559	0.4688
TCGA-L9-A5IP_T_LUAD	18.8419	0.9702	0.159	0.8172
TCGA-50-5936_T_LUAD	23.2586	0.428	0.5292	0.7416
TCGA-49-AARR_T_LUAD	60.2614	1.1686	10.1656	6.4118
TCGA-78-8662_T_LUAD	18.2601	0.2092	0.4702	1.0571
TCGA-05-4430_T_LUAD	111.7896	0.5624	2.9076	10.6495
TCGA-44-7659_T_LUAD	21.4514	0.2979	2.4274	6.9358
TCGA-44-6146_T_LUAD	6.6686	0.1549	1.3234	0.6711
TCGA-L9-A50W_T_LUAD	503.4328	0.3385	1.5219	11.6493
TCGA-75-7025_T_LUAD	51.1869	0.7429	6.784	7.017
TCGA-05-4424_T_LUAD	59.2273	0.4373	1.5401	4.5886
TCGA-62-A46P_T_LUAD	25.9187	0.3088	1.978	1.6049
TCGA-38-4627_T_LUAD	63.3658	0.724	2.6396	7.037
TCGA-86-8073_T_LUAD	22.1471	0.7641	9.3317	6.9381
TCGA-69-7765_T_LUAD	22.475	0.4266	2.1874	4.6578
TCGA-55-6984_T_LUAD	12.8735	0.4562	0.9913	0.6148
TCGA-69-7764_T_LUAD	53.2649	0.9952	1.9923	1.0328
TCGA-NJ-A4YI_T_LUAD	33.1117	0.3337	1.7087	4.6045
TCGA-86-A4P7_T_LUAD	54.6439	2.0196	9.0548	4.4058
TCGA-55-8620_T_LUAD	6.1264	0.6263	3.0075	0.781
TCGA-97-8177_T_LUAD	16.4465	0.4368	2.5037	15.1155
TCGA-50-6595_T_LUAD	56.3142	0.7832	2.0119	0.6462
TCGA-55-A492_T_LUAD	23.1907	0.3511	3.7046	3.0696
TCGA-78-7633_T_LUAD	33.7914	0.2545	0.8412	1.6859
TCGA-97-A4LX_T_LUAD	44.5418	2.053	6.8734	10.2968
TCGA-78-7220_T_LUAD	16.6218	0.2897	0.7164	0.8785
TCGA-53-7624_T_LUAD	79.7639	0.3552	2.2112	0.2762
TCGA-49-AARN_T_LUAD	24.9501	0.5109	3.5273	4.9531
TCGA-62-A46R_T_LUAD	10.5606	0.452	1.778	11.8127
TCGA-78-7156_T_LUAD	51.8552	0.7201	0.978	1.7763
TCGA-50-8457_T_LUAD	33.1047	1.6636	3.4177	10.1245
TCGA-91-8496_T_LUAD	12.7211	0.978	1.9652	15.0628
TCGA-55-8092_T_LUAD	2.9941	1.4576	2.2508	0.154
TCGA-NJ-A4YQ_T_LUAD	5.9418	2.0513	7.088	2.3001
TCGA-50-5072_T_LUAD	34.2073	0.5591	1.9898	1.4127
TCGA-91-6831_T_LUAD	37.0973	1.3994	0.0357	0.4592
TCGA-91-A4BD_T_LUAD	7.6217	0.5711	1.6687	9.5646
TCGA-69-8255_T_LUAD	3.9439	0.4383	1.6681	0.4602
TCGA-69-8253_T_LUAD	35.1339	0.2249	1.3759	1.5872
TCGA-86-A4D0_T_LUAD	14.4932	0.3651	0.2735	0.82
TCGA-78-8640_T_LUAD	14.8389	0.3949	0.7694	1.6727
TCGA-97-8174_T_LUAD	68.4484	0.9576	3.5563	3.4867
TCGA-55-6987_T_LUAD	20.9996	1.6111	2.3898	1.4742
TCGA-49-6744_T_LUAD	65.289	0.4544	3.0385	9.644
TCGA-55-8096_T_LUAD	68.1961	0.7847	0.8675	11.7576
TCGA-J2-8192_T_LUAD	39.674	0.9626	1.6671	13.6936
TCGA-44-7671_T_LUAD	39.4904	0.2526	1.0787	3.355
TCGA-93-A4JN_T_LUAD	101.5828	0.9542	4.1707	3.3985
TCGA-49-AAR9_T_LUAD	3.3064	0.0802	0.0301	0.1158
TCGA-86-A4P8_T_LUAD	74.2034	6.5955	18.4517	8.5981
TCGA-44-5645_T_LUAD	6.8216	1.162	4.6641	12.7629
TCGA-78-7158_T_LUAD	137.4347	0.8843	0.3568	4.6814
TCGA-80-5611_T_LUAD	5.032	0.1938	0.8351	2.5189
TCGA-44-4112_T_LUAD	47.3874	0.7169	0.3702	6.0706
TCGA-71-6725_T_LUAD	27.1503	0.0296	0.333	0.7486
TCGA-44-2656_T_LUAD	4.1709	1.1965	0.6316	9.2138
TCGA-05-5715_T_LUAD	50.6709	0.2701	0.954	8.0223
TCGA-64-5815_T_LUAD	108.384	0.4198	1.201	12.0127
TCGA-55-7816_T_LUAD	48.2537	3.0404	1.4546	5.1315
TCGA-95-7948_T_LUAD	7.0676	0.13	0.6681	3.1916
TCGA-05-4432_T_LUAD	46.7069	0.4574	1.2337	0.9812
TCGA-99-8033_T_LUAD	12.3342	0.8251	0.8599	0.6715
TCGA-78-7143_T_LUAD	13.7045	0.3386	1.4637	3.46
TCGA-73-4668_T_LUAD	59.621	0.2208	0.4095	2.4553
TCGA-44-5644_T_LUAD	12.3613	0.13	0.2921	0.2345
TCGA-38-4625_T_LUAD	44.8499	0.3635	1.6871	3.0479
TCGA-91-8499_T_LUAD	9.854	0.9308	1.4082	0.7753
TCGA-86-6851_T_LUAD	34.0284	2.2945	5.9374	1.5191
TCGA-44-6779_T_LUAD	14.0699	1.9835	0.3547	5.4024
TCGA-78-7537_T_LUAD	24.6452	0.2533	1.4708	3.5353
TCGA-05-4434_T_LUAD	116.3781	0.9682	4.9031	4.278
TCGA-67-3773_T_LUAD	22.3339	0.3973	1.4209	25.8695
TCGA-55-6983_T_LUAD	27.5221	0.7226	2.2775	2.2682
TCGA-05-5425_T_LUAD	16.1601	0.2107	2.5163	1.9776
TCGA-97-A4M2_T_LUAD	70.7649	1.9685	12.4776	13.2162
TCGA-50-5941_T_LUAD	51.5292	0.818	2.2473	5.9491
TCGA-78-7539_T_LUAD	13.8809	0.6628	2.1232	7.2258
TCGA-67-3771_T_LUAD	7.8502	0.4543	3.6421	0.3498
TCGA-55-8299_T_LUAD	76.2832	0.99	4.5716	2.6414
TCGA-05-5429_T_LUAD	7.8143	0	0.5149	3.3073
TCGA-93-A4JO_T_LUAD	67.0605	0.8263	6.2619	5.2154
TCGA-44-A47A_T_LUAD	216.639	0.4698	1.518	15.9826
TCGA-44-2662_T_LUAD	5.101	0.667	1.3776	11.4519
TCGA-86-A4JF_T_LUAD	29.743	0.2444	1.3279	1.853
TCGA-05-4402_T_LUAD	66.7504	0.2577	0.6044	7.0204
TCGA-97-8179_T_LUAD	22.5784	0.3006	1.8921	3.4436
TCGA-55-7914_T_LUAD	14.8483	0.4721	0.9286	2.5564
TCGA-49-4490_T_LUAD	40.9341	0.2687	1.6392	2.8816
TCGA-55-8090_T_LUAD	161.7868	0.1839	1.415	2.8595
TCGA-MP-A4TC_T_LUAD	6.0234	0.697	2.2383	2.3004
TCGA-64-1681_T_LUAD	54.7802	0.136	1.5471	10.0115
TCGA-99-AA5R_T_LUAD	125.3389	2.2963	20.1399	8.1495
TCGA-49-4486_T_LUAD	10.0601	0.0902	1.039	0.7325
TCGA-91-6847_T_LUAD	4.0972	2.4859	0.0681	0.3502
TCGA-05-4249_T_LUAD	48.5798	0.483	3.2151	29.6105
TCGA-91-A4BC_T_LUAD	10.2961	3.3034	1.1374	0.579
TCGA-55-7570_T_LUAD	10.1778	0.2693	0.4287	0.6479
TCGA-50-5049_T_LUAD	23.5782	1.1775	5.2713	3.0885
TCGA-86-8672_T_LUAD	12.5278	0.6679	0.5255	0.6269
TCGA-50-5066_T_LUAD	44.5993	0.9175	0.8736	1.1224
TCGA-55-7727_T_LUAD	32.8166	0.6197	0.6429	3.5102
TCGA-86-8674_T_LUAD	13.0469	0.2237	0.5027	0.3229
TCGA-53-A4EZ_T_LUAD	5.936	0.3263	1.0635	1.6725
TCGA-69-7761_T_LUAD	12.2023	2.2879	1.4588	4.6376
TCGA-50-5942_T_LUAD	43.6937	0.4413	2.3478	12.6595
TCGA-69-A59K_T_LUAD	22.6797	0.4722	0.9287	1.7045
TCGA-44-2666_T_LUAD	3.3958	0.7118	1.483	6.1166
TCGA-50-5944_T_LUAD	41.3138	0.2226	1.7158	13.4092
TCGA-50-6592_T_LUAD	8.8224	0.5582	0.915	1.0747
TCGA-62-8395_T_LUAD	227.9196	0.7675	1.9409	3.6808
TCGA-05-4410_T_LUAD	10.5378	0.4006	2.2886	1.7351
TCGA-55-6975_T_LUAD	31.3419	0.7693	1.0467	1.0524
TCGA-73-4662_T_LUAD	42.5273	0.6699	4.1615	3.9042
TCGA-49-6767_T_LUAD	3.5103	0.6005	0.2999	1.4932
TCGA-44-A47G_T_LUAD	32.8798	1.5958	1.8918	8.0171
TCGA-NJ-A4YG_T_LUAD	53.9899	0.3348	1.9684	11.0449
TCGA-55-8507_T_LUAD	93.7869	0.2837	1.2116	3.6045
TCGA-05-4433_T_LUAD	40.4791	0.7676	1.3373	4.9322
