B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM1019139	-0.106305981382252	-0.246970954373876	0.0175321588584721	-0.21130666489622	-0.414718944524006	-0.17565450019244	0.110099551403831	-0.380899160028026	0.0935306737178378	-0.249615491261442	0.0604201500573531	-0.00552646296334991	-0.443749996168012	-0.306070295291038	0.100150765321594	-0.2371679476736	-0.181308452122902	-0.308337428962259
GSM1019140	-0.0600178297988667	-0.201469743798177	0.0592606121650685	-0.122959675281416	-0.461414112080134	-0.280604869862867	0.150396707264049	-0.230267546515211	0.0346938436787132	-0.262544412930068	0.0252484788543214	0.0216895502711956	-0.432891882473718	-0.30488100037739	0.220096748097879	-0.127851190824863	-0.0599874510663891	-0.305821811776319
GSM1019143	-0.141354241952774	-0.294590938987094	-0.146671966702718	-0.297213455554963	-0.351757074689426	-0.161070957318259	0.150317403870772	-0.334716862550705	0.123386974324812	-0.276740872004527	-0.094430778416991	-0.18341375823541	-0.39380410084337	-0.31959192192734	0.0385682747830032	-0.241731231845975	-0.104200784826435	-0.329207949226275
GSM1019144	0.0766429317271095	-0.261179131753102	-0.0812414176992531	-0.275922484301042	-0.364799670623511	-0.139743345658441	-0.0014486791123677	-0.392671831963353	0.130049787772791	-0.317971464564584	-0.0966015629786829	-0.169039833563147	-0.376359501548208	-0.237653624230589	0.107898913425416	-0.240402615050426	-0.220794588662623	-0.284771852846414
GSM1019145	-0.124250014837074	-0.253704056469875	-0.0359051377410819	-0.32569476422378	-0.428466187946738	-0.161333126715055	0.177378985525969	-0.239840245314395	0.0693344781089147	-0.210864059889266	-0.0888733053252369	-0.0744513085595567	-0.407402666194373	-0.259473516543083	0.0994499981587244	-0.177392500662472	-0.117131367203666	-0.180658113294989
GSM1019147	-0.199497506009112	-0.266879628210578	0.0881510519605835	-0.180937897791936	-0.474053705998448	-0.211460874912433	-0.0661562342028362	-0.28523572876481	0.154505981680076	-0.259368835439301	-0.101563836067669	0.057979316527432	-0.473822007095957	-0.379345223484871	0.147609745300998	-0.16294393410185	-0.165820710541802	-0.369388675329513
GSM1019149	-0.109940125213795	-0.2317131136961	0.00109920700993024	-0.257346313863295	-0.449024784599538	-0.126227759115564	0.157384542076578	-0.265273446132286	0.132353898475588	-0.258080048171915	0.113608919216935	0.0908487189014893	-0.382515334397698	-0.325256887205627	0.135679035067663	-0.198453831344535	-0.0474972492032213	-0.327369493314769
GSM1019150	0.0417967649625877	-0.18949329054597	0.0433915633803353	-0.227144674320646	-0.412605006929709	-0.194763465844039	0.0770026689029042	-0.392425528492969	0.0300238942649419	-0.137084622413507	-0.00757499255540979	-0.0775369127351024	-0.455130751632459	-0.205395090057581	0.186359284755594	-0.175740373692857	-0.0955435177248943	-0.20421545616788
GSM1019152	-0.156919039191239	-0.234579458188851	0.0501283404120181	-0.27464442789006	-0.459316344145305	-0.0994147042187236	0.0197619381675833	-0.248092637254537	0.0563545432425664	-0.183408673265585	-0.235248544125171	-0.0302120702935218	-0.44441104627491	-0.289006836673538	0.201198743697136	-0.239863790203554	-0.175858825814501	-0.369564250752607
GSM1019153	-0.231081691749061	-0.289565819270901	-0.0493911974267847	-0.352071185347114	-0.336849469352907	-0.187456920566662	0.180350575274162	-0.297749705396568	0.0915015159255075	-0.271648390916825	-0.00116064290206162	0.0059789221075183	-0.389589299511534	-0.289787527566823	-0.0116089495844461	-0.191953797561036	-0.170862993775196	-0.304238785704915
