B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
TCGA-35-5375_T_LUAD	0.345722929945191	0.254163194451961	0.309040641060637	0.179070167869292	0.231899351344903	0.337678431624195	0.351936224393308	0.104018992849613	0.361540075822366	0.257564828448628	0.173076670947993	0.395845947958115	-0.103986830697885	0.0903229296366345	0.455485437188594	0.337278588155187	0.2358983800041	0.16837507161175
TCGA-55-A4DF_T_LUAD	0.389430364839343	0.285974468944218	0.329871425588574	0.176235043657224	0.247997317728069	0.336383001766235	0.342878775135011	0.236783612559735	0.24656533640743	0.240570460453607	0.0805475468025448	0.377835258257918	-0.181293024893372	0.214248842184778	0.445579908815308	0.324140248357057	0.293707255074597	0.139672410227426
TCGA-95-8039_T_LUAD	0.301355778151823	0.345436405174769	0.294476854277282	0.203657934980307	0.136093521311913	0.312124135911329	0.452191723670397	0.276669730636825	0.35771853095684	0.187833840744895	0.259594458888403	0.357451115288299	-0.282019697685816	0.153230714734362	0.39180624221627	0.342219251963118	0.276415815319164	0.127092889313184
TCGA-MP-A4T4_T_LUAD	0.367506614059752	0.29958820326767	0.427306577774173	0.229033375195219	0.228477979948562	0.407178111368253	0.397687322655922	0.163121864649693	0.387004727194797	0.299790387598588	0.228303435057183	0.405258942432399	-0.116876204378921	0.139781836127607	0.529482694304341	0.422351830721444	0.396694701350768	0.138534003858118
TCGA-62-A471_T_LUAD	0.295509059631981	0.167245782512963	0.249614717729127	0.0141734142771706	0.0530526149200867	0.286915898063559	0.369026577440823	0.0709552636598857	0.182091339847199	0.309123726864104	0.177533577976349	0.29589003437225	-0.19181810651589	0.104150119244958	0.366901008297045	0.282532052126303	0.28611666017635	0.105139979536164
TCGA-L9-A5IP_T_LUAD	0.195133670239143	0.160203562775629	0.247079280058837	0.122058978540921	0.189968057438832	0.268181053584187	0.416361778195865	0.108699769705233	0.212626435899569	0.282246754418101	0.167465352997694	0.349805959695956	-0.146105472638749	0.059414413990585	0.4242881599964	0.329027133072959	0.251832600122813	0.231781762649039
TCGA-50-5936_T_LUAD	0.314567980475222	0.276809036266678	0.25162427782544	0.114576500590737	0.0751923233307701	0.289909193374848	0.390017817475937	0.159435109095624	0.372100045552682	0.176073814828628	0.184061175812424	0.410867459541893	-0.117556955689904	0.122820619926294	0.31319012316915	0.289768717512579	0.279581764150848	0.0864643872591955
TCGA-49-AARR_T_LUAD	0.437805258877365	0.260648804907038	0.296430928673699	0.188978736855656	0.160414548449651	0.310855018035457	0.571497001344812	0.344677954269485	0.462950359678183	0.193502383643426	0.304532326186667	0.342772326226228	-0.103211233141861	0.190478086515482	0.379019770862068	0.411860205175538	0.324826367227859	0.203413933194782
TCGA-78-8662_T_LUAD	0.214509620765555	0.167306798763229	0.147171829756449	0.11009293717627	0.035123690047277	0.206394943817387	0.421208146131638	0.190978195309818	0.33422081619266	0.162976431776415	0.14367474612523	0.18507872167323	-0.212388411669952	0.0372047515928339	0.269925408749444	0.205001099625351	0.217238843693071	-0.0079180635352846
TCGA-05-4430_T_LUAD	0.30485936548622	0.296319444241857	0.303383161713383	0.190425140433745	0.160283301013167	0.308588112536092	0.505385667299547	0.385441450108935	0.467614576096774	0.230923262967746	0.323871719044325	0.478802129579149	-0.131453357566861	0.270566597967962	0.411547356871329	0.343338672414786	0.312171948983873	0.190373168672903
