,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
Gefitinib_1010,0.00138446297877137,513,25.4413949812535,31.9129888065514,0.0176013481793305,-0.326965952912415
SB216763_1025,1.8286979941754e-06,1537,202.974376957876,156.738119010069,0.000219513385008462,0.372941527559236
KU.55933_1030,0.00154173955654773,1331,83.2809550009924,67.3852220172278,0.0179567313056735,0.30555437800062
NU7441_1038,0.00195754886187336,1322,13.3924271303637,11.4229767128906,0.0203997197184698,0.229478794702603
Doramapimod_1042,0.0012763661531595,1338,92.5089076483765,81.4810616222693,0.0176013481793305,0.183127511489791
AZD8055_1059,1.17606225731096e-05,1487,0.835588814720857,0.741156062094619,0.000776201089825234,0.173015823761409
Paclitaxel_1080,0.00522570271134221,565,0.0743588876049472,0.138833432329125,0.0397957360325291,-0.900777930506646
BI.2536_1086,0.000943233228305334,499,1.36285373838715,2.17798314132972,0.0176013481793305,-0.676362046662002
PF.4708671_1129,0.00044898690374585,1375,50.3684934361031,39.4106111265569,0.0126999152773826,0.35393745840598
GSK269962A_1192,0.000534710636519119,1369,18.5158338565536,14.7087491593114,0.0132340882538482,0.332084958256725
AZ960_1250,0.00114434016065459,1342,9.30766214256066,6.26159014203398,0.0176013481793305,0.57188976484493
Uprosertib_1553,3.58537563878442e-05,1455,24.5619402546584,14.3876635527995,0.00141980875295863,0.771592201585336
Lapatinib_1558,0.000917337938176434,498,21.153040661247,29.6883979663524,0.0176013481793305,-0.4890341856446
WZ4003_1614,0.00138446297877137,1335,47.406503760723,35.5054032397282,0.0176013481793305,0.417046406163492
I.BET.762_1624,0.00419792497305823,1292,31.5780235818753,23.525527027927,0.0357834607643731,0.424693834916072
Entospletinib_1630,0.00440900606481926,1290,45.8034175657035,35.9049880894998,0.0357834607643731,0.351270963316114
PRT062607_1631,0.00171532586630689,1327,28.4920358326419,22.0108953929252,0.0188685845293758,0.372340875205815
Ribociclib_1632,3.1292068396962e-05,1459,46.194424478536,36.5535453950062,0.00141980875295863,0.337707390817491
Selumetinib_1736,0.00142233116600651,1334,97.2324487621117,47.2469058629092,0.0176013481793305,1.04121800331256
IGF1R_3801_1738,0.00117610798000582,1341,6.62108535496055,4.27359045979157,0.0176013481793305,0.631619068326656
Dihydrorotenone_1827,0.000324179561180323,462,2.49843975035793,3.39493013719106,0.0106979255189507,-0.442354458137335
AZD8186_1918,0.00451811373287539,1289,31.3649394598338,21.5531525261649,0.0357834607643731,0.541253873807556
Sepantronium.bromide_1941,0.00589023069342931,570,0.0155487189236227,0.0248544531656125,0.0431950250851483,-0.676708642233789
MIM1_1996,0.0036185227822592,550,49.6389155017807,62.452448238995,0.0325667050403328,-0.331286532783802
AZD6482_2169,0.00260469164754935,1311,25.9820655934427,16.8826186685105,0.0257864473107385,0.621977432366434
BMS.754807_2171,2.21730691927739e-06,1532,1.86982031152459,0.884338949251201,0.000219513385008462,1.08022829816587
JQ1_2172,0.00311278308595375,1304,10.9038179033727,7.69312472281123,0.0293490976675639,0.503191771099979
