,TCGA_p.value,TCGA_statistic.W,TCGA_mean_case,TCGA_mean_control,TCGA_p.adjust,TCGA_log2FC,GSE37745_p.value,GSE37745_statistic.W,GSE37745_mean_case,GSE37745_mean_control,GSE37745_p.adjust,GSE37745_log2FC,GSE31210_p.value,GSE31210_statistic.W,GSE31210_mean_case,GSE31210_mean_control,GSE31210_p.adjust,GSE31210_log2FC
SB216763_1025,1.13860588205553e-14,44339,408.388773094532,195.800997296754,2.25443964646995e-12,1.06055509280873,1.8286979941754e-06,1537,202.974376957876,156.738119010069,0.000219513385008462,0.372941527559236,8.6756318590319e-12,5444,198.251597167173,119.340845973801,8.58887554044158e-10,0.73224457980557
KU.55933_1030,6.83732776935793e-12,42931,170.65160702076,77.6797589447877,4.24547449367614e-10,1.13544337139723,0.00154173955654773,1331,83.2809550009924,67.3852220172278,0.0179567313056735,0.30555437800062,5.64151633133289e-07,4819,88.4748410293684,80.3149078671111,1.2274947622021e-06,0.139599462124356
NU7441_1038,5.83475483449967e-06,39126,17.3305597707515,13.5011489814542,1.7504264503499e-05,0.360236064326399,0.00195754886187336,1322,13.3924271303637,11.4229767128906,0.0203997197184698,0.229478794702603,2.6798340108636e-10,5269,14.3777449270043,11.7544226077761,5.89563482389992e-09,0.290633740747493
Doramapimod_1042,4.79662689322601e-05,38363,125.893320740506,98.0744231477558,0.00010212173385578,0.360252893199646,0.0012763661531595,1338,92.5089076483765,81.4810616222693,0.0176013481793305,0.183127511489791,1.62321151901977e-08,5040,91.2509041189736,76.6023834945637,9.08042038268143e-08,0.252449570733049
AZD8055_1059,1.15769425690526e-05,38886,1.07074713549451,0.85146150624624,3.05631283822988e-05,0.330604604039825,1.17606225731096e-05,1487,0.835588814720857,0.741156062094619,0.000776201089825234,0.173015823761409,7.24452869644965e-09,5087,0.822527332673338,0.635964168043309,5.31265437739641e-08,0.371118138134698
GSK269962A_1192,6.72646351641807e-05,38233,57.6794008311086,34.4476063190002,0.000140193660657977,0.743652441041651,0.000534710636519119,1369,18.5158338565536,14.7087491593114,0.0132340882538482,0.332084958256725,8.40901926781795e-06,4631,18.393555566816,14.7925802545497,1.30077016799059e-05,0.314326664718301
Ribociclib_1632,1.858198863209e-10,42133,161.691258338024,60.4196974311376,4.08803749905979e-09,1.42015081869227,3.1292068396962e-05,1459,46.194424478536,36.5535453950062,0.00141980875295863,0.337707390817491,1.17318037233495e-06,4770,45.1660568214145,36.545542548448,2.27735013453255e-06,0.305543514467791
AZD6482_2169,0.00208726278962469,36749,51.4604761002181,37.0115895092135,0.00327998438369595,0.47548770928879,0.00260469164754935,1311,25.9820655934427,16.8826186685105,0.0257864473107385,0.621977432366434,4.00412440511187e-05,4512,24.6718297209757,21.7137691794097,5.50567105702883e-05,0.184254535703104
BMS.754807_2171,3.24191497423307e-14,42685,6.07638186024062,2.59314552514368,3.20949582449074e-12,1.22850936519572,2.21730691927739e-06,1532,1.86982031152459,0.884338949251201,0.000219513385008462,1.08022829816587,4.73999561140362e-11,5359,2.06612830359706,0.858953069622283,3.12839710352639e-09,1.26627863176684
JQ1_2172,0.000648525302205277,37293,17.2002116798287,14.8210597943567,0.00112638605119864,0.214777707367803,0.00311278308595375,1304,10.9038179033727,7.69312472281123,0.0293490976675639,0.503191771099979,7.99743808087487e-12,5448,12.8372685068054,5.45588805703364,8.58887554044158e-10,1.23445231198954
