,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
Vinblastine_1004,8.57671614884069e-12,17976,7725.29298644693,15736657988179656,4.24547449367614e-10,-40.8896047709923
Cisplatin_1005,3.11911593677118e-11,20688,3150520743834334,2181019754613195520,1.23516991096139e-09,-9.4351968131708
Cytarabine_1006,1.98017816445411e-08,22547,1194.35202697746,77512.2600736874,1.74973949906579e-07,-6.02012449000392
Docetaxel_1007,2.03252568073299e-08,17313,19.6740333121926,26210.8686020349,1.74973949906579e-07,-10.3796566982481
Gefitinib_1010,4.74455738058471e-11,20581,515.391595207592,1215.68245194159,1.56570393559295e-09,-1.2380255164108
Navitoclax_1011,0.00335606013062664,26927,2187.26453327146,8339.06289965279,0.00507251836537462,-1.9307575561394
Vorinostat_1012,0.000592431289021046,24509,223260418736594,40416180.1202322,0.00104733388594792,22.3972911925415
Nilotinib_1013,0.00124859816809979,24213,5013.79761750881,2995.69619675192,0.00207749947297276,0.743012439962447
Olaparib_1017,0.000489653082773565,26023,16379.3618294025,333588.630190675,0.000881375548992417,-4.34811906469102
Axitinib_1021,0.0100222495220418,35928,70.0525121051475,43.9696650336066,0.0139746859532696,0.671928245120665
AZD7762_1022,6.76098190269674e-06,24365,12002.5548433214,9693.10275715337,1.94010785033906e-05,0.308311077510471
SB216763_1025,1.13860588205553e-14,44339,408.388773094532,195.800997296754,2.25443964646995e-12,1.06055509280873
KU.55933_1030,6.83732776935793e-12,42931,170.65160702076,77.6797589447877,4.24547449367614e-10,1.13544337139723
Afatinib_1032,1.60766513581458e-07,23158,69.8528690489914,82.3886598713646,8.37678149713911e-07,-0.23812640354479
NU7441_1038,5.83475483449967e-06,39126,17.3305597707515,13.5011489814542,1.7504264503499e-05,0.360236064326399
Doramapimod_1042,4.79662689322601e-05,38363,125.893320740506,98.0744231477558,0.00010212173385578,0.360252893199646
Wee1.Inhibitor_1046,1.15645644549294e-09,17674,24081695.302981,4863726752874.54,1.52652250805069e-08,-17.6237656955047
Nutlin.3a...._1047,7.24518988790774e-08,22224,8019.14841189538,19491.3321557263,4.2192576406051e-07,-1.28131175259339
Mirin_1048,8.11750574432498e-06,23115,723.42355939717,22765084344.839,2.20173443476212e-05,-24.9074069813295
PD173074_1049,0.0010896572351905,25700,3838.42534239277,4023.63650884645,0.00184403532109162,-0.067985391590011
ZM447439_1050,1.74347235228712e-05,38739,36.347554764917,23.3822396298538,4.31509407191061e-05,0.636445189262909
MK.2206_1053,6.79692480731101e-08,22902,9126.73440263207,83770607.097305,4.20559722452369e-07,-13.1640577604517
Palbociclib_1054,0.000379887528118571,25913,1115.55663854574,1899.11341450989,0.000712635914082938,-0.767562302082483
Dactolisib_1057,0.000118612535366761,23133,29967.692706147,166238290351781,0.000237523987991274,-32.3691256600359
Pictilisib_1058,1.66214034722143e-05,24373,959833894587.751,37089650981083.8,4.16587074366889e-05,-5.27208812190931
AZD8055_1059,1.15769425690526e-05,38886,1.07074713549451,0.85146150624624,3.05631283822988e-05,0.330604604039825
PD0325901_1060,0.00625348842775033,27252,305.820939251818,520.470462691766,0.00910434344628357,-0.767129101257333
X5.Fluorouracil_1073,7.30668981312125e-06,24392,104259.362939358,60515805550.541,2.06674940428287e-05,-19.1467755201943
Dasatinib_1079,3.21058533274446e-07,40071,5.54360449627881,4.970950976333,1.38194759974653e-06,0.157302457853791
Paclitaxel_1080,6.19691727849338e-10,18143,323888494141.503,6679456950.7708,9.43838170108992e-09,5.59962259399064
Crizotinib_1083,2.8252227313427e-05,24349,104.179535407435,270.949730358522,6.42981725064201e-05,-1.37895330293283
Rapamycin_1084,0.00202804195783696,26677,0.692716766884268,1.58423322329121,0.00321241846121375,-1.19344723863965
Sorafenib_1085,1.20494137618188e-06,23787,15044.8551359792,12422.5433360682,4.26032843721452e-06,0.276309640563197
BI.2536_1086,3.32983475145958e-08,22695,1.76463990967647,2.72294025411491,2.44187881773703e-07,-0.625791508682139
Oxaliplatin_1089,6.76098190269674e-06,24365,2418.02522226375,50656.9266504071,1.94010785033906e-05,-4.38885835313615
BMS.536924_1091,7.12896849446249e-08,22916,302.173525986504,10151.8032268075,4.2192576406051e-07,-5.07021493176133
GSK1904529A_1093,0.00116856789126719,26415,6163.15558375732,2692.56569853866,0.00196081730907546,1.19468766428399
Tozasertib_1096,0.000479666220400748,37426,30.5198636452797,22.8849952775899,0.000871320290269248,0.415346522372279
PF.4708671_1129,0.0138699669628508,35741,89.5278162034247,70.4951741585107,0.0190712045739198,0.34481149666773
Erlotinib_1168,2.08682195664137e-07,23237,2955.96320415301,3678.73766745239,1.00778231076827e-06,-0.31558248978387
MK.1775_1179,2.70535021240158e-10,18138,92839658.7587955,26566008.4355775,4.86963038232285e-09,1.80515974192052
Dinaciclib_1180,0.00442627238803182,23003,11661.1367126998,3.97673963438766,0.00654031293156941,11.5178346980924
Gemcitabine_1190,2.56503434898751e-05,24523,4624612758302261,8721392284670163,6.00360036563584e-05,-0.915225898793999
GSK269962A_1192,6.72646351641807e-05,38233,57.6794008311086,34.4476063190002,0.000140193660657977,0.743652441041651
SB505124_1194,0.00778268368379052,36069,21.1823330066828,16.6605404249998,0.0110861249596441,0.346426296687169
Tamoxifen_1199,1.66428075657761e-06,22556,3641102.26397913,9646046583193.99,5.68151016900632e-06,-21.3371310857025
Fulvestrant_1200,6.24937872612373e-07,23577,24202.0667847836,3360695381.96744,2.474753975545e-06,-17.0832700005123
EPZ004777_1237,0.00143414436855416,26511,130795.748723663,127950188.917538,0.00236633820811436,-9.93405091273273
YK.4.279_1239,1.10363789928107e-08,18731,55921440461243.8,570915642375496,1.09260152028826e-07,-3.35180416272436
BMS.345541_1249,4.63789564064646e-06,23425,2328928261.46912,13220.343176267,1.41277436438154e-05,17.4265470478986
Talazoparib_1259,2.45894476287678e-05,23866,2433.14156441086,61125.3716518819,5.86591642228436e-05,-4.65087916556523
Temozolomide_1375,1.88323158649081e-05,24729,27496.3766304816,95443.3734800856,4.60345498919976e-05,-1.79540351829141
AZD5438_1401,4.0356775922019e-05,22863,144998.317223814,6034935023.71159,8.78092487094479e-05,-15.345014460402
IAP_5620_1428,6.4063398930663e-08,22583,472.373489564089,638.624161035312,4.14257120778126e-07,-0.435039134939407
AZD2014_1441,0.00167568780635941,26585,215.20830839536,700.59992091651,0.0027420345922245,-1.70285704920954
AZD1208_1449,1.78142862864345e-07,23189,259.615647000036,1056.88679835772,8.81807171178507e-07,-2.02537161787526
AZD1332_1463,0.00222408006892243,26722,112.503803233459,748.02414357559,0.00346746341454049,-2.73311106284522
Linsitinib_1510,2.56136525895903e-08,22620,119.526823374436,334.903654428981,1.97123540393744e-07,-1.48641170456905
Epirubicin_1511,6.48584381016258e-08,22792,4.26655156712357e+28,7.67372872170878e+20,4.14257120778126e-07,25.728567479847
Cyclophosphamide_1512,3.46236657812945e-06,23724,9.22612061216663e+20,40403864324066.1,1.12385013519612e-05,24.4447275345025
Pevonedistat_1529,4.69938600204397e-07,21035,1520295173.80167,45295263670480.6,1.93497492396565e-06,-14.8627211231695
Sapitinib_1549,1.47519972697643e-10,21053,175.508814671508,842.907845930712,3.65111932426667e-09,-2.26383142214822
LCL161_1557,0.00413591884360038,27034,310.129973876038,411.192461676419,0.00615723256415696,-0.4069408477841
Lapatinib_1558,2.58849093446331e-08,22623,4.82000482182847e+30,1.69308755473008e+22,1.97123540393744e-07,28.0848027674649
Luminespib_1559,0.000363473423840686,19726,766.86381055645,280951.747253622,0.000691997480004383,-8.51713626887381
Alpelisib_1560,4.66979850049999e-09,22147,50753.5358428905,61849670.4188753,5.43894178293528e-08,-10.2510418582007
Taselisib_1561,2.32816845359288e-06,24003,979.270478850659,306847071.648132,7.81317548832865e-06,-18.2573809910676
EPZ5676_1563,2.5236767126451e-07,23295,1149.28645931433,20849.8284352304,1.12501894974091e-06,-4.18122517313154
SCH772984_1564,0.00346313739326487,26712,1946.95329784181,5167.79880672499,0.00519470608989731,-1.40833162586281
Entinostat_1593,0.000688949894943969,26174,26448584.0571878,1.95058220490157e+23,0.00117596619999057,-52.7115638297065
OSI.027_1594,0.00512201003438514,27037,169.914609704562,194.372811715402,0.00751228138376487,-0.194016528645126
LGK974_1598,0.0232341236875083,27671,143359882187656,22103489634.0512,0.030669043267511,12.6630795804036
VE.822_1613,6.85512444860362e-11,21060,394.074580676774,1512.08670523978,1.93902091546217e-09,-1.94000026993098
PFI3_1620,0.000286602791326597,25793,592.81373908381,1836.10839905738,0.000550945171676371,-1.63100044510002
PCI.34051_1621,8.04960960823876e-05,25277,359.697901245575,538.923599691246,0.000166023198169925,-0.58329502262948
Wnt.C59_1622,0.0190300199766901,27888,565.141161810986,604.966411310318,0.025459080779626,-0.0982437728238059
RVX.208_1625,0.0157212044847348,27773,248.856665933425,350.186336640136,0.0213205375888869,-0.4928077627596
ML323_1629,7.6226079944596e-07,23640,5918063.44775922,533640.739830927,2.84769128849623e-06,3.47118444803087
Ribociclib_1632,1.858198863209e-10,42133,161.691258338024,60.4196974311376,4.08803749905979e-09,1.42015081869227
AGI.6780_1634,0.0093848993009125,27475,339.010302170166,1569.85810795541,0.0131787947629835,-2.21123314549196
CDK9_5576_1708,0.000639763869842867,24027,71.504588468772,360.872821140305,0.00112100217901671,-2.33538276375134
CDK9_5038_1709,0.0217533659067258,26295,217778898.776327,55756.6572524733,0.0289071573794074,11.9314324827911
Eg5_9814_1712,0.0152923195364851,26742,11791463213.8661,455660756.61591,0.020881925987752,4.69363881953559
IRAK4_4710_1716,0.000537651206483677,26064,416.629851137092,889.898388523218,0.000959053503457369,-1.09487440307129
JAK1_8709_1718,0.00826230511902246,27404,158.955510403599,642.362490670844,0.0116852600969032,-2.01476462206617
AZD5991_1720,0.000154280445375656,25108,805.368413051313,1894.3403381709,0.000305475281843798,-1.23397475414375
PAK_5339_1730,9.63585515356352e-06,24489,16.4168099183588,27.826844142985,2.5782423248724e-05,-0.761303488406694
VSP34_8731_1734,3.23778974746288e-10,21447,160.359551775836,1717.72583384472,5.34235308331375e-09,-3.42111759113609
AZD4547_1786,5.04538249005094e-08,22815,18018.3602833076,171048.298283008,3.56780618939316e-07,-3.24686411784978
Ibrutinib_1799,0.00237372549162453,26197,383.862146801495,872.048847448459,0.00367185661985669,-1.18382064825441
Zoledronate_1802,1.35057988906048e-05,24609,414.37736879235,47254.022302892,3.47291971472696e-05,-6.83334811534474
Acetalax_1804,4.78857430678367e-07,23089,278.784156670342,427.729091658637,1.93497492396565e-06,-0.617548759280729
Oxaliplatin_1806,0.000118761993995637,25431,356.870865725883,1393.62925363236,0.000237523987991274,-1.96537278057266
Carmustine_1807,0.000678250334354117,26167,1168.41586837086,2139.13047017123,0.00116777014088796,-0.872470621465965
Dactinomycin_1811,0.00168975395144891,26589,2.62278096778757,8.41120445578873,0.00274238756054823,-1.68121507318758
Nelarabine_1814,0.0313034105896821,28082,949.341003152794,1211.8991700683,0.0410468562699143,-0.352271370365307
Fulvestrant_1816,2.3540689323531e-08,22596,182.7892875992,473.056583154764,1.94210686919131e-07,-1.37183123379537
Vincristine_1818,2.2272906001047e-07,22765,4.00710415013547e+21,169021871.116771,1.02558962516449e-06,44.4304153007652
Docetaxel_1819,3.74778968500761e-05,24453,136130136.303458,6.79355931136513e+28,8.24513730701674e-05,-68.757743049347
Podophyllotoxin.bromide_1825,6.11981889553183e-08,21322,6.03005741515634,3079.93636363237,4.14257120778126e-07,-8.99651308872055
Dihydrorotenone_1827,2.4018101372017e-05,24818,3.45854802531435,6.36704627119837,5.79949277031629e-05,-0.880457758959238
Gallibiscoquinazole_1830,1.66735897555605e-07,23169,269.80105087884,656.958957931711,8.46505326051532e-07,-1.28390727654377
Elephantin_1835,0.00286355017333959,25946,9662515407.26676,31501145083445.5,0.00436140718708646,-11.6707178423761
Sinularin_1838,0.00689759808943585,27305,348.292858732206,366.884310331067,0.00996879139933064,-0.0750243168541802
Sabutoclax_1849,3.38174599627109e-05,24945,44.3867078192798,16.7535936915151,7.52343491305254e-05,1.40565711655108
LY2109761_1852,0.00010503494646494,25382,3455.07018276678,14450.0599390586,0.000214401230928434,-2.064288555601
OF.1_1853,6.63620123460914e-07,23596,307.244704723408,8520.52603486298,2.57640753814237e-06,-4.79348244991813
MN.64_1854,0.0118797914322065,27609,300.746671667167,549.955225915222,0.0164489419830551,-0.870765396435122
KRAS..G12C..Inhibitor.12_1855,0.0017253958245972,26599,77134.4153575727,3509.07949362927,0.00277746644935159,4.45821016095372
BDP.00009066_1866,0.000187670161030465,20832,20937.9616863609,6104728.80662999,0.000367907840435962,-8.18766239432876
Buparlisib_1873,2.70455794300206e-05,19521,105.955104465507,189171771.435095,6.22677293853962e-05,-20.7678123001301
Ulixertinib_1908,4.18331923094624e-06,24200,408621.156803166,66148.6949888493,1.33030222047897e-05,2.62697930334207
Venetoclax_1909,0.0162647660508773,24523,43.1899858789038,39.2360469149556,0.0219076440685286,0.138517149458418
Dactinomycin_1911,1.07756946653897e-06,21185,3767022780194226,11208783.1272764,3.95108804397624e-06,28.324219855181
Afuresertib_1912,6.91405591028453e-07,23609,4822.15867786301,5277.79443605779,2.63265975045449e-06,-0.130256035450521
AZD3759_1915,4.23277979243309e-06,24204,532.47084736764,380.792113036573,1.33030222047897e-05,0.483698942477902
AZD5363_1916,1.20122561437605e-06,23786,8515.94459841817,99206.8941654,4.26032843721452e-06,-3.54220191172803
AZD6738_1917,2.23681548117754e-10,19407,320500590.70673,1.11078598364635e+21,4.42889465273153e-09,-41.6563190955594
AZD8186_1918,0.0370287207065284,28312,2137.77401328214,39041.0239325426,0.0479195209143309,-4.19080963392729
Osimertinib_1919,6.10354542896389e-06,24122,6811.14092888789,4397.88251911382,1.80373432079828e-05,0.631087417284828
Cediranib_1922,0.000213573206541579,25670,113612.911181293,671235501.494081,0.000414583283286595,-12.5284765115816
Ipatasertib_1924,2.55686124941116e-07,23299,2096.76684376079,57795.6993498328,1.12501894974091e-06,-4.78472379328967
GDC0810_1925,2.86357451082177e-05,24883,37264.3555435527,27786.3688178923,6.44304264934897e-05,0.423418997265546
GNE.317_1926,4.69531545060155e-05,23918,2011882.67071341,313526160.390629,0.000101051354262946,-7.28389584294738
GSK2578215A_1927,1.51813328333115e-05,24651,220.819836193941,361.995096044627,3.85372294999445e-05,-0.713100378326617
I.BRD9_1928,2.57730318726791e-05,24844,43065.7716231455,202094.29601907,6.00360036563584e-05,-2.23041501731991
Telomerase.Inhibitor.IX_1930,6.80673097889357e-09,19218,38.0585649108376,350696278126.813,7.48740407678293e-08,-33.1012819061238
MIRA.1_1931,7.68371181483221e-06,24194,7220.03389129817,46224.9476922084,2.14278160469969e-05,-2.67859417274466
NVP.ADW742_1932,4.08872198469728e-09,22111,4922.20534158777,93330007.0050694,5.05979345606289e-08,-14.2107485388959
P22077_1933,8.16656836346639e-08,22956,31561.6198559143,3882571.58129333,4.61994438847527e-07,-6.94269746142412
Savolitinib_1936,1.46269334014715e-06,23850,1980.32496569848,2229.5891759361,5.08093476051117e-06,-0.171040711782496
UMI.77_1939,0.00747630135566693,22492,41954.9141721859,150447.703522605,0.0107268671624786,-1.84235037681621
WIKI4_1940,1.5664925693363e-08,22481,83.2348749909167,425.862904936438,1.47697870823137e-07,-2.35512902641253
Sepantronium.bromide_1941,0.0346249879115555,23216,238059.13059526,12583.7615171435,0.045103602674263,4.24168482372977
MIM1_1996,1.29151503717208e-05,24593,61653.9333516366,3685.92505264496,3.36473654421148e-05,4.0640942960487
WEHI.539_1997,0.000381512156024199,25384,423.308244641986,210.444428766598,0.000712635914082938,1.00826927107667
BPD.00008900_1998,3.78562070606507e-07,23420,1343.24723988741,3811.08623938611,1.59479340383167e-06,-1.50447738103835
Foretinib_2040,4.91119336742101e-05,25086,87.7356149825273,441.198187391915,0.000103448541143549,-2.33019235629333
BIBR.1532_2043,1.50438320036565e-07,23138,2272.17316025314,3833.23383379465,8.050483072227e-07,-0.754489222167085
Pyridostatin_2044,0.00284373505446955,26628,17034889.1925424,119119002.476014,0.00436140718708646,-2.80583910946806
MK.8776_2046,7.62611662183795e-09,22281,3435.57519637569,21786.1552165177,7.94721626907323e-08,-2.66478804898018
Ulixertinib_2047,0.000465575749632209,26001,105.71101807357,342.805484599069,0.000853555540992383,-1.69726443741547
Vinorelbine_2048,2.14438809795394e-07,19859,459171596012.512,156007649053054,1.01092581760686e-06,-8.40836764999028
VX.11e_2096,0.00180625429764409,26621,9856.20208933608,149105.720874795,0.00288418024946395,-3.91915996462212
Uprosertib_2106,2.44293521360996e-06,24019,358.793509359357,1997.40556919841,8.06168620491288e-06,-2.47690160187619
LJI308_2107,7.82690824793928e-06,24416,469901.546501997,105662.695831571,2.1523997681833e-05,2.15289239206865
AZ6102_2109,4.5468180378922e-06,22626,2718168.00283271,395.561670701539,1.4066718304729e-05,12.7464443695974
GSK591_2110,1.25236514512341e-07,23083,271.973891655889,322.999797469726,6.88800829817876e-07,-0.248065094811588
VE821_2111,8.7395221330678e-10,21702,44735.2187371495,63936.0098800824,1.23601813024816e-08,-0.515217640589438
AZD6482_2169,0.00208726278962469,36749,51.4604761002181,37.0115895092135,0.00327998438369595,0.47548770928879
AT13148_2170,0.000389728326731282,25924,265462.002707466,160979866023120960,0.0007211795204934,-39.1415120248462
BMS.754807_2171,3.24191497423307e-14,42685,6.07638186024062,2.59314552514368,3.20949582449074e-12,1.22850936519572
JQ1_2172,0.000648525302205277,37293,17.2002116798287,14.8210597943567,0.00112638605119864,0.214777707367803
