,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
Erlotinib_1,5.45644014039054e-05,2043,14.5764722925955,11.4747252731838,0.000910233423419695,0.345181996622582
MG.132_9,0.0050659353938315,1848,1.01730212978369,0.787399842024573,0.0206081738764508,0.369579882407014
Imatinib_34,0.0161872328518071,1023,20.7215863830526,22.2549392047994,0.0482984915171806,-0.102991103999869
Z.LLNle.CHO_45,0.000262589674030988,1982,2.43006893395322,1.71735373934274,0.00235049781388714,0.500810004171199
Dasatinib_51,0.000406384747358301,1964,2.46628084825121,1.27859237496822,0.0035510286257261,0.947780700994044
CGP.60474_53,0.000666045317811078,1943,0.115270916270154,0.09593831519216,0.004612049653522,0.264849546779579
A.770041_55,0.00547734563984781,1844,10.4466637842537,8.13214314629283,0.0216149016110123,0.361334765423813
WH.4.023_56,0.000151442161245475,2004,13.4836532312575,9.28102062527484,0.00205849159915146,0.538856059060822
WZ.1.84_59,0.00149487577901775,1907,53.9777529605229,43.4262292697253,0.00884870017579864,0.313798232116725
BI.2536_60,0.00913664182629676,991,0.12962690013471,0.155942855727204,0.030762821561935,-0.266652322532287
Pyrimethamine_71,7.05187143065805e-10,428,42.1451395014703,68.2586656159867,2.58803681505151e-07,-0.69564595338621
GW843682X_87,0.00603390535643961,969,0.0730672804978574,0.0926843729104486,0.0223681137960943,-0.343100600663752
Entinostat_88,5.17007371861214e-05,763,2.10591011598456,2.54950522164727,0.000903531930824121,-0.275773431886919
TGX221_94,1.94710837289115e-07,2228,58.7943628457909,52.4641829952795,1.78647193212763e-05,0.164344998323201
XMD8.85_106,0.00580543942620331,1841,16.5792341844043,13.6108107917909,0.0221937111397564,0.284624358182202
Lapatinib_119,0.0073022690434217,1829,13.4734457615749,11.3358823968099,0.026018764455687,0.249222163192447
Etoposide_134,0.0126617838979046,1009,4.56358992065792,6.33112508371187,0.0397168776968459,-0.472292740687311
Mitomycin.C_136,0.0050659353938315,960,0.45338886152642,0.604912596311175,0.0206081738764508,-0.415977754150345
NSC.87877_147,3.57003904043563e-07,598,140.549851636341,171.909720755292,2.62040865567975e-05,-0.290569194503744
QS11_151,6.70561556247375e-06,691,24.83581595592,36.247790534332,0.000175782922244848,-0.545470913205906
CP466722_152,0.00487089052951193,1850,11.3325321319179,9.33133308877893,0.0206081738764508,0.280315145229512
Ponatinib_155,0.00516608173469612,1847,2.18305395834102,1.83514676733531,0.0206081738764508,0.250452341351999
AZD6482_156,0.00107367881224362,1922,14.6979020258053,10.9296399774834,0.00667864617107469,0.427364360498681
