,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
Erlotinib_1,0.000505400374598316,36129,14.1800774062351,13.7397606976238,0.00363690073485455,0.0455085307114518
Rapamycin_3,0.0156228493965605,34101,0.288159345587394,0.225206170095197,0.0473850060209729,0.355620455730805
Sunitinib_5,3.93154136369517e-05,37145,48.0974632853079,21.2732428027695,0.00047304637180052,1.17692083826539
PHA.665752_6,4.65608840067367e-06,37720,22.274390992137,18.5362996610826,9.49324690581797e-05,0.265032714953314
Saracatinib_38,0.0134831467366556,34514,18.8361312133704,13.1697137168971,0.0424410092171181,0.516278693021003
Z.LLNle.CHO_45,2.09166466906298e-14,42409,282.263901558089,2.34323399721513,7.67640933546113e-12,6.91239979549305
Dasatinib_51,1.29394803382951e-11,40143,31.5848552801134,4.17314393938651,2.37439464207715e-09,2.92002637412301
WH.4.023_56,4.24100843021761e-05,36707,51.9901929754524,20.8035288009041,0.000486390654340582,1.32141124374439
WZ.1.84_59,0.00339944825694176,35249,74.5538643392873,49.9983623787584,0.016634633470635,0.576402291090169
Pyrimethamine_71,4.70768563131565e-05,24025,126.341836742987,124.205843373798,0.000523551705058437,0.0245994031971026
TGX221_94,0.00449779063163278,34049,149.21149877774,98.6950802605944,0.0203788785408547,0.596308642861225
CP466722_152,0.00961901872669146,34704,136998.949934605,47.7778181545158,0.0342735909970463,11.4855362423795
Ponatinib_155,8.43922464376033e-07,37618,5.16989461119869,2.31235276226851,2.06479696284003e-05,1.16077336558517
JNK.9L_157,0.000149615212751067,24300,226.454269660102,19.5313921190321,0.00133923861169858,3.53535305329944
HG6.64.1_159,0.0013257404551714,35700,461.866064122461,18.1872995818319,0.0077229642388556,4.66647129203662
DMOG_165,7.57041216421755e-09,39817,19415.4203089253,2228.9428736011,5.1585367679824e-07,3.12277139251609
FTI.277_166,0.00128044689831986,25387,9.75638995646106,11.5659008349723,0.00757941954328047,-0.245458309778447
AKT.inhibitor.VIII_171,1.10984211369936e-05,23504,11.8332233596764,17.9724106363292,0.000193958121775079,-0.602940814185298
PAC.1_175,0.00783551247200757,34816,30.8671545528433,18.6707839915091,0.030269821865545,0.725289988169709
IPA.3_176,0.00144863770032916,35659,10994.9804610737,2298.0759849287,0.00830703181282503,2.25834663441698
X5.Fluorouracil_179,0.00360975851723491,25884,4850.5194371697,871.30104838923,0.0172049529327949,2.47689606812433
GW.2580_193,0.00805579012086233,26302,359.594262100502,300.860244933993,0.0307966143162133,0.257276516085545
Phenformin_196,4.17934585516116e-07,38667,4603.53500591888,2476.55292967477,1.21509244489411e-05,0.894408661982655
GSK1904529A_202,3.99575954381911e-05,23964,9.849612845256,11.5505744645832,0.00047304637180052,-0.229825682092838
Genentech.Cpd.10_225,0.0065738184628771,34910,664.761677813235,47.2938539174401,0.0271077682682685,3.8131126008832
AKT.inhibitor.VIII_228,0.00329190253095569,35265,30.5794403819695,41.599308439185,0.0163260571467667,-0.443997539773161
Enzastaurin_229,8.02289786935834e-05,36876,69.8633598191121,36.8967336350214,0.000817889866126253,0.921042921298893
GSK429286A_230,0.012114669007312,26528,171.773039669074,193.712867450715,0.0400548065376891,-0.173416170070933
