CellType,Marker,Reference,doi,Note
naiveB,IGHD,jimmy,,
naiveB,FCER2,jimmy,,
naiveB,TCL1A,jimmy,,
naiveB,IL4R,jimmy,,
memoryB,CD27,jimmy,,
memoryB,AIM2,jimmy,,
memoryB,TNFRSF13B,jimmy,,
GC_B,S1PI2,jimmy,,
GC_B,LRMP,jimmy,,
GC_B,SUGCT,jimmy,,
GC_B,MME,jimmy,,
GC_B,MKI67,jimmy,,
GC_B,AICDA,jimmy,,
plasmaB,IGHG1,jimmy,,
plasmaB,IGHA1,jimmy,,
plasmaB,SSR4,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
plasmaB,IGLL5,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
plasmaB,IGLL1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
plasmaB,AMPD1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
plasmaB,MZB1,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
plasmaB,DERL3,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
plasmaB,SDC1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
plasmaB,MZB1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
hypoxiacell,HIF1A,jimmy,,NA
hypoxiacell,SLC2A1,jimmy,,NA
hypoxiacell,VEGFA,jimmy,,NA
hypoxiacell,HMOX1,jimmy,,NA
hypoxiacell,BNIP3,jimmy,,NA
hypoxiacell,NOS2,jimmy,,NA
hypoxiacell,MMP2,jimmy,,NA
hypoxiacell,SOD3,jimmy,,NA
hypoxiacell,CITED2,jimmy,,NA
hypoxiacell,LDHA,jimmy,,NA
