CellType,Marker,Reference,doi,Note
T,CD3D,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
T,CD3E,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
T,CD3D,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD3E,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD3G,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD8A,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD8B,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,TBX21,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,IL7R,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD4,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD2,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,BATF,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,TNFRSF4,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,FOXP3,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CTLA4,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,LAIR2,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
T,CD3D,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445,NA
B,CD19,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
B,MS4A1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
B,CD79A,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
B,CD79A,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445,NA
B,PAX5,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
B,MS4A1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
B,CD19,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
B,IGLL5,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
B,CD79A,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
B,MS4A1,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
B,SDC1,jimmy,NA,
B,CD19,jimmy,NA,
B,CD38,jimmy,NA,
B,MS4A1,jimmy,NA,
B,CD79A,jimmy,NA,
B,JCHAIN,kangkaicheng,NA,
B,IGHD,kangkaicheng,NA,
Myeloid,LYZ,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Myeloid,CD68,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Myeloid,CD14,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,Monocyte
Myeloid,FOLR2,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,Macrophage
Myeloid,FABP3,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,Macrophage
Myeloid,PLA2G2D,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,Macrophage
Myeloid,CD14,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Myeloid,FCGR3A,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Mast,TPSAB1,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Mast,KIT,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Mast,TPSAB1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,HDC,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,CTSG,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,CMA1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,KRT1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,IL1RAPL1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,GATA2,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,NA
Mast,KIT,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Mast,IL1RL1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Mast,MS4A2,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Epithelium,EPCAM,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Epithelium,KRT19,Bingxin_Liu_2024,doi.org/10.1016/j.xcrm.2024.101589,NA
Epithelium,EPCAM,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Epithelium,CDH1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Epithelium,EPCAP,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445,NA
Epithelium,KRT19,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445,NA
Endothelial,CDH5,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
