CellType,Marker,Reference,doi,Note
crypt_top_colonocytes,OTOP2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,CT
crypt_top_colonocytes,MEIS1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,CT
absorptive_cells,KRT20,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ABS
absorptive_cells,GUCA2A,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ABS
absorptive_cells,ALDOB,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ABS
serrated-specific_cells,MSLN,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,MUC5AC,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,AQP5,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,TACSTD2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,FSCN1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,TFF2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,ANXA1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,ANXA10,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,REG4,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,MUC17,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,S100P,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,GSDMB,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,GSDMD,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,IL18,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,RELB,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,MDK,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,RARA,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,RXRA,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,AHR,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,AGRN,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
serrated-specific_cells,PDX1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,SSC
adenoma-specific_cells,CLDN2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,CD44,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,AXIN2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,RNF43,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,TGFBI,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,EPHB2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,TEAD2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
adenoma-specific_cells,CDX2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,ASC
stem_cells,LGR5,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,STM
stem_cells,OLFM4,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,STM
stem_cells,ASCL2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,STM
transit_amplifying_cells,PCNA,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,TAC
transit_amplifying_cells,MKI67,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,TAC
goblet_cells,ATOH1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,GOB
goblet_cells,MUC2,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,GOB
goblet_cells,TFF3,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,GOB
enteroendocrine_cells,CHGA,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,EE
enteroendocrine_cells,NEUROD1,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,EE
tuft_cells,POU2F3,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,TUF
tuft_cells,SOX9,Bob_Chen_2021,doi:_10.1016/j.cell.2021.11.031.,TUF
DCLK1_plus_Progenitor,DCLK1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
DCLK1_plus_Progenitor,SPARC,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
DCLK1_plus_Progenitor,MGP,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
MKI67_plus_Progenitor,HEG1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
MKI67_plus_Progenitor,MKI67,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
MKI67_plus_Progenitor,CDK1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1High_Progenitor,PTGS1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1High_Progenitor,PROM1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1High_Progenitor,CCBE1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1High_Progenitor,ARMC9,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1Low_Progenitor,LRIG1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1Low_Progenitor,SGCA,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
PROM1Low_Progenitor,ALCAM,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
