CellType,Marker,Reference,doi,Note
hypoxiacell,HIF1A,jimmy,,NA
hypoxiacell,SLC2A1,jimmy,,NA
hypoxiacell,VEGFA,jimmy,,NA
hypoxiacell,HMOX1,jimmy,,NA
hypoxiacell,BNIP3,jimmy,,NA
hypoxiacell,NOS2,jimmy,,NA
hypoxiacell,MMP2,jimmy,,NA
hypoxiacell,SOD3,jimmy,,NA
hypoxiacell,CITED2,jimmy,,NA
hypoxiacell,LDHA,jimmy,,NA
Fibroblast,COL2A1,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445,NA
Fibroblast,THY1,Zhenyu_Liu_2024,doi:10.1158/2159-8290.CD-23-1445 CD90,
Mastcell,KIT,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Mastcell,IL1RL1,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
Mastcell,MS4A2,Jingjing_Qi_2022,doi.org/10.1038/s41467-022-29366-6,NA
