CellType,Marker,Reference,doi,Note,Color
Macro,ADGRE1,jimmy,,NA,#63B3E6
Macro,CD14,jimmy,,NA,#63B3E6
Macro,FCGR3,jimmy,,NA,#63B3E6
Macro,C1QA,jimmy,,NA,#63B3E6
Macro,C1QB,jimmy,,NA,#63B3E6
Macro,C1QC,jimmy,,NA,#63B3E6
Macro,SELENOP,jimmy,,NA,#63B3E6
Macro,RNASE1,jimmy,,NA,#63B3E6
Macro,DAB2,jimmy,,NA,#63B3E6
Macro,LGMN,jimmy,,NA,#63B3E6
Macro,PLTP,jimmy,,NA,#63B3E6
Macro,MAF,jimmy,,NA,#63B3E6
Macro,SLCO2B1,jimmy,,NA,#63B3E6
Macro,APOC1,jimmy,,NA,#63B3E6
Macro,HLA-DRB5,jimmy,,NA,#63B3E6
Mono,VCAN,jimmy,,NA,#90E663
Mono,FCN1,jimmy,,NA,#90E663
Mono,CD300E,jimmy,,NA,#90E663
Mono,S100A12,jimmy,,NA,#90E663
Mono,EREG,jimmy,,NA,#90E663
Mono,APOBEC3A,jimmy,,NA,#90E663
Mono,STXBP2,jimmy,,NA,#90E663
Mono,ASGR1,jimmy,,NA,#90E663
Mono,CCR2,jimmy,,NA,#90E663
Mono,NRG1,jimmy,,NA,#90E663
Mono,LY6C2,jimmy,,NA,#90E663
Mono,SPN,jimmy,,NA,#90E663
Mono,LYZ,jimmy,,NA,#90E663
Mono,HLA-DRB1,jimmy,,NA,#90E663
Mono,TIMP1,jimmy,,NA,#90E663
Mono,CD14,jimmy,,NA,#90E663
Mono,FCGR3A,jimmy,,NA,#90E663
Mono,S100A11,jimmy,,NA,#90E663
Mono,CXCL8,jimmy,,NA,#90E663
Mono,IL1B,jimmy,,NA,#90E663
Mono,PTGS2,jimmy,,NA,#90E663
Mono,S100A9,jimmy,,NA,#90E663
Mono,S100A8,jimmy,,NA,#90E663
Mono,MMP19,jimmy,,NA,#90E663
cDCs,XCR1,jimmy,,NA,#E663E6
cDCs,CCR7,jimmy,,NA,#E663E6
cDCs,FLT3,jimmy,,NA,#E663E6
cDCs1,XCR1,jimmy,,NA,#AB49AB
cDCs1,CLNK,jimmy,,NA,#AB49AB
cDCs1,CLEC9A,jimmy,,NA,#AB49AB
cDCs2,FCER1A,jimmy,,NA,#7F3ACC
cDCs2,HLA-DPB1,jimmy,,NA,#7F3ACC
cDCs2,HLA-DQB1,jimmy,,NA,#7F3ACC
cDCs2,CD1E,jimmy,,NA,#7F3ACC
cDCs2,CD1C,jimmy,,NA,#7F3ACC
cDCs2,CLEC10A,jimmy,,NA,#7F3ACC
cDCs2,HLA-DQA2,jimmy,,NA,#7F3ACC
pDCs,SIGLECH,jimmy,,NA,#AC2F6B
pDCs,CLEC10A,jimmy,,NA,#AC2F6B
pDCs,ClEC12A,jimmy,,NA,#AC2F6B
pDCs,CLEC4C,jimmy,,NA,#AC2F6B
pDCs,IRF7,jimmy,,NA,#AC2F6B
pDCs,TCF4,jimmy,,NA,#AC2F6B
pDCs,GZMB,jimmy,,NA,#AC2F6B
neutrophils,CSF3R,jimmy,,NA,#39410C
neutrophils,S100A8,jimmy,,NA,#39410C
neutrophils,CXCL3,jimmy,,NA,#39410C
neutrophils,FCGR3B,jimmy,,NA,#39410C
neutrophils,CXCR2,jimmy,,NA,#39410C
neutrophils,G0S2,jimmy,,NA,#39410C
neutrophils,SLC25A37,jimmy,,NA,#39410C
neutrophils,CXCR1,jimmy,,NA,#39410C
neutrophils,ADGRG3,jimmy,,NA,#39410C
neutrophils,PROK2,jimmy,,NA,#39410C
neutrophils,STEAP4,jimmy,,NA,#39410C
neutrophils,CMTM2,jimmy,,NA,#39410C
DC1,CLEC9A,jimmy,,NA,#B06530
DC1,XCR1,jimmy,,NA,#B06530
DC1,CLNK,jimmy,,NA,#B06530
DC1,CADM1,jimmy,,NA,#B06530
DC1,ENPP1,jimmy,,NA,#B06530
DC1,SNX22,jimmy,,NA,#B06530
DC1,NCALD,jimmy,,NA,#B06530
DC1,DBN1,jimmy,,NA,#B06530
DC1,HLA-DOB,jimmy,,NA,#B06530
DC1,PPY,jimmy,,NA,#B06530
DC1,WDFY4,jimmy,,NA,#B06530
DC2,CD1C,jimmy,,NA,#CD7637
DC2,FCER1A,jimmy,,NA,#CD7637
DC2,CD1E,jimmy,,NA,#CD7637
DC2,AL138899.1,jimmy,,NA,#CD7637
DC2,CD2,jimmy,,NA,#CD7637
DC2,GPAT3,jimmy,,NA,#CD7637
DC2,CCND2,jimmy,,NA,#CD7637
DC2,ENHO,jimmy,,NA,#CD7637
DC2,PKIB,jimmy,,NA,#CD7637
DC2,CD1B,jimmy,,NA,#CD7637
DC2,ITGAX,jimmy,,NA,#CD7637
DC2,SIRPA,jimmy,,NA,#CD7637
DC2,CD209A,jimmy,,NA,#CD7637
DC3,HMSD,jimmy,,NA,#CC5A36
DC3,ANKRD33B,jimmy,,NA,#CC5A36
DC3,LAD1,jimmy,,NA,#CC5A36
DC3,CCR7,jimmy,,NA,#CC5A36
DC3,LAMP3,jimmy,,NA,#CC5A36
DC3,CCL19,jimmy,,NA,#CC5A36
DC3,CCL22,jimmy,,NA,#CC5A36
