CellType,Marker,Reference,doi,Note
NK,KLRF1,Winston_R_Becker_2022,doi.org/10.1038/s41588-022-01088-x,
NK,NKG7,kangkaicheng,,
NK1,NCAM1,,,
NK2,FCGR3A,,,
NK2,IL7R,,,
NK2,GZMH,,,
NK2,CCL3,,,
NK2,CREM,,,
NK2,RGS1,,,
NK2,IL32,,,
NK2,KLRC2,,,
NK2,ZNF90,,,
NK2,MKI67,,,
NK2,NFKBIA,,,
NK2,DNAJB1,,,
NK2,NR4A3,,,
NK2,CX3CR1,,,
PGD2,PTGDR,,,
PGD2,PTGDS,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,NA
,,,,NA
