CellType,Marker,Reference,doi,Note
CD4-Tc,CD3D,,,CD4
CD4-Tc,CD3E,,,CD4
CD4-Tc,CD4,,,CD4
CD4-Tc,CD8A,,,CD4
CD4-Treg,TNFRSF4,,,CD4
CD4-Treg,BATF,,,CD4
CD4-Treg,TNFRSF18,,,CD4
CD4-Treg,FOXP3,,,CD4
CD4-Treg,IL2RA,,,CD4
CD4-Treg,IKZF2,,,CD4
CD4-naiveT,CCR7,,,CD4
CD4-naiveT,SELL,,,CD4
CD4-naiveT,CD5,,,CD4
CD4-Tfh,CXCR5,,,CD4
CD4-Tfh,BCL6,,,CD4
CD4-Tfh,ICA1,,,CD4
CD4-Tfh,TOX,,,CD4
CD4-Tfh,TOX2,,,CD4
CD4-Tfh,IL6ST,,,CD4
CD4-ILC,TNFRSF25,,,CD4
CD4-ILC,KRT81,,,CD4
CD4-ILC,LST1,,,CD4
CD4-ILC,AREG,,,CD4
CD4-ILC,LTB,,,CD4
CD4-ILC,CD69,,,CD4
CD8-CD8T,CD8A,,,CD8
CD8-CD8T,CD8B,,,CD8
CD8-TN_TCM,CCR7,,,CD8
CD8-TN_TCM,SELL,,,CD8
CD8-TN_TCM,TCF7,,,CD8
CD8-TN_TCM,LEF1,,,CD8
CD8-TEM,GZMK,,,CD8
CD8-TEM,CD44,,,CD8
CD8-TEM,GZMH,,,CD8
CD8-TEM,CXCR4,,,CD8
CD8-TEFF,TBX21,,,CD8
CD8-TEFF,FCGR3A,,,CD8
CD8-TEFF,FGFBP2,,,CD8
CD8-TRM,XCL1,,,CD8
CD8-TRM,XCL2,,,CD8
CD8-TRM,ITGAE,,,CD8
CD8-TRM,MYADM,,,CD8
CD8-TRM,CD69,,,CD8
CD8-IELT,TMIGD2,,,CD8
CD8-yT1c,GNLY,,,CD8
CD8-yT1c,PTGDS,,,CD8
CD8-yT1c,GZMB,,,CD8
CD8-yT1c,TRDC,,,CD8
CD8-yT2c,TMN1,,,CD8
CD8-yT2c,HMGB2,,,CD8
CD8-yT2c,TYMS,,,CD8
CD8-MAIT,SLC4A10,,,CD8
CD8-MAIT,ZBTB16,,,CD8
CD8-MAIT,NCR3,,,CD8
CD8-MAIT,RORA,,,CD8
CD8-MAIT,KLRB1,,,CD8
CD8-Exhausted,LAG3,,,CD8
CD8-Exhausted,TIGIT,,,CD8
CD8-Exhausted,PDCD1,,,CD8
CD8-Exhausted,HAVCR2,,,CD8
CD8-Exhausted,CTLA4,,,CD8
CD8-EffMemory,EOMES,,,CD8
CD8-EffMemory,ITM2C,,,CD8
CD8-Resting_NK,XCL1,,,CD8
CD8-Resting_NK,XCL2,,,CD8
CD8-Resting_NK,KLRC1,,,CD8
CD8-Cytotoxic_NK,CX3CR1,,,CD8
CD8-Cytotoxic_NK,FGFBP2,,,CD8
CD8-Cytotoxic_NK,FCGR3A,,,CD8
CD8-Cytotoxic_NK,KLRD1,,,CD8
CD8-Pre_exhausted,IFNG,,,CD8
CD8-Pre_exhausted,PRF1,,,CD8
CD8-Pre_exhausted,GNLY,,,CD8
CD8-Pre_exhausted,GZMA,,,CD8
CD8-Pre_exhausted,NKG7,,,CD8
CD8-Pre_exhausted,GZMK,,,CD8
naiveT,CCR7,,,NA
naiveT,SELL,,,NA
naiveT,TCF7,,,NA
naiveT,IL7R,,,NA
naiveT,CD27,,,NA
naiveT,CD28,,,NA
naiveT,LEF1,,,NA
naiveT,S1PR1,,,NA
NKTc,GNLY,,,NA
NKTc,GZMA,,,NA
th17,IL17A,,,NA
th17,KLRB1,,,NA
th17,CCL20,,,NA
th17,ANKRD28,,,NA
th17,IL23R,,,NA
th17,RORC,,,NA
th17,FURIN,,,NA
th17,CCR6,,,NA
th17,CAPG,,,NA
th17,IL22,,,NA
yt,TRGV9,,,NA
yt,TRDV2,,,NA
